Height (m)  50th percentile dynamic pressure (Pa)  84th percentile dynamic pressure (Pa)  16th percentile dynamic pressure (Pa)
   30.710              0.5579E+03                             0.1308E+04                             0.2009E+03
   30.720              0.5579E+03                             0.1308E+04                             0.2009E+03
   30.730              0.5580E+03                             0.1308E+04                             0.2009E+03
   30.740              0.5580E+03                             0.1308E+04                             0.2010E+03
   30.750              0.5580E+03                             0.1308E+04                             0.2010E+03
   30.760              0.5581E+03                             0.1308E+04                             0.2010E+03
   30.770              0.5581E+03                             0.1308E+04                             0.2010E+03
   30.780              0.5581E+03                             0.1308E+04                             0.2010E+03
   30.790              0.5582E+03                             0.1308E+04                             0.2010E+03
   30.800              0.5582E+03                             0.1308E+04                             0.2010E+03
   30.810              0.5582E+03                             0.1309E+04                             0.2010E+03
   30.820              0.5582E+03                             0.1309E+04                             0.2010E+03
   30.830              0.5583E+03                             0.1309E+04                             0.2011E+03
   30.840              0.5583E+03                             0.1309E+04                             0.2011E+03
   30.850              0.5583E+03                             0.1309E+04                             0.2011E+03
   30.860              0.5584E+03                             0.1309E+04                             0.2011E+03
   30.870              0.5584E+03                             0.1309E+04                             0.2011E+03
   30.880              0.5584E+03                             0.1309E+04                             0.2011E+03
   30.890              0.5585E+03                             0.1309E+04                             0.2011E+03
   30.900              0.5585E+03                             0.1309E+04                             0.2011E+03
   30.910              0.5585E+03                             0.1309E+04                             0.2011E+03
   30.920              0.5586E+03                             0.1309E+04                             0.2012E+03
   30.930              0.5586E+03                             0.1309E+04                             0.2012E+03
   30.940              0.5586E+03                             0.1309E+04                             0.2012E+03
   30.950              0.5587E+03                             0.1310E+04                             0.2012E+03
   30.960              0.5587E+03                             0.1310E+04                             0.2012E+03
   30.970              0.5587E+03                             0.1310E+04                             0.2012E+03
   30.980              0.5587E+03                             0.1310E+04                             0.2012E+03
   30.990              0.5588E+03                             0.1310E+04                             0.2012E+03
   31.000              0.5588E+03                             0.1310E+04                             0.2013E+03
   31.010              0.5588E+03                             0.1310E+04                             0.2013E+03
   31.020              0.5589E+03                             0.1310E+04                             0.2013E+03
   31.030              0.5589E+03                             0.1310E+04                             0.2013E+03
   31.040              0.5589E+03                             0.1310E+04                             0.2013E+03
   31.050              0.5590E+03                             0.1310E+04                             0.2013E+03
   31.060              0.5590E+03                             0.1310E+04                             0.2013E+03
   31.070              0.5590E+03                             0.1310E+04                             0.2013E+03
   31.080              0.5591E+03                             0.1310E+04                             0.2013E+03
   31.090              0.5591E+03                             0.1311E+04                             0.2014E+03
   31.100              0.5591E+03                             0.1311E+04                             0.2014E+03
   31.110              0.5592E+03                             0.1311E+04                             0.2014E+03
   31.120              0.5592E+03                             0.1311E+04                             0.2014E+03
   31.130              0.5592E+03                             0.1311E+04                             0.2014E+03
   31.140              0.5592E+03                             0.1311E+04                             0.2014E+03
   31.150              0.5593E+03                             0.1311E+04                             0.2014E+03
   31.160              0.5593E+03                             0.1311E+04                             0.2014E+03
   31.170              0.5593E+03                             0.1311E+04                             0.2014E+03
   31.180              0.5594E+03                             0.1311E+04                             0.2015E+03
   31.190              0.5594E+03                             0.1311E+04                             0.2015E+03
   31.200              0.5594E+03                             0.1311E+04                             0.2015E+03
   31.210              0.5595E+03                             0.1311E+04                             0.2015E+03
   31.220              0.5595E+03                             0.1312E+04                             0.2015E+03
   31.230              0.5595E+03                             0.1312E+04                             0.2015E+03
   31.240              0.5596E+03                             0.1312E+04                             0.2015E+03
   31.250              0.5596E+03                             0.1312E+04                             0.2015E+03
   31.260              0.5596E+03                             0.1312E+04                             0.2015E+03
   31.270              0.5597E+03                             0.1312E+04                             0.2016E+03
   31.280              0.5597E+03                             0.1312E+04                             0.2016E+03
   31.290              0.5597E+03                             0.1312E+04                             0.2016E+03
   31.300              0.5597E+03                             0.1312E+04                             0.2016E+03
   31.310              0.5598E+03                             0.1312E+04                             0.2016E+03
   31.320              0.5598E+03                             0.1312E+04                             0.2016E+03
   31.330              0.5598E+03                             0.1312E+04                             0.2016E+03
   31.340              0.5599E+03                             0.1312E+04                             0.2016E+03
   31.350              0.5599E+03                             0.1312E+04                             0.2016E+03
   31.360              0.5599E+03                             0.1313E+04                             0.2017E+03
   31.370              0.5600E+03                             0.1313E+04                             0.2017E+03
   31.380              0.5600E+03                             0.1313E+04                             0.2017E+03
   31.390              0.5600E+03                             0.1313E+04                             0.2017E+03
   31.400              0.5601E+03                             0.1313E+04                             0.2017E+03
   31.410              0.5601E+03                             0.1313E+04                             0.2017E+03
   31.420              0.5601E+03                             0.1313E+04                             0.2017E+03
   31.430              0.5601E+03                             0.1313E+04                             0.2017E+03
   31.440              0.5602E+03                             0.1313E+04                             0.2017E+03
   31.450              0.5602E+03                             0.1313E+04                             0.2018E+03
   31.460              0.5602E+03                             0.1313E+04                             0.2018E+03
   31.470              0.5603E+03                             0.1313E+04                             0.2018E+03
   31.480              0.5603E+03                             0.1313E+04                             0.2018E+03
   31.490              0.5603E+03                             0.1313E+04                             0.2018E+03
   31.500              0.5604E+03                             0.1314E+04                             0.2018E+03
   31.510              0.5604E+03                             0.1314E+04                             0.2018E+03
   31.520              0.5604E+03                             0.1314E+04                             0.2018E+03
   31.530              0.5605E+03                             0.1314E+04                             0.2018E+03
   31.540              0.5605E+03                             0.1314E+04                             0.2019E+03
   31.550              0.5605E+03                             0.1314E+04                             0.2019E+03
   31.560              0.5605E+03                             0.1314E+04                             0.2019E+03
   31.570              0.5606E+03                             0.1314E+04                             0.2019E+03
   31.580              0.5606E+03                             0.1314E+04                             0.2019E+03
   31.590              0.5606E+03                             0.1314E+04                             0.2019E+03
   31.600              0.5607E+03                             0.1314E+04                             0.2019E+03
   31.610              0.5607E+03                             0.1314E+04                             0.2019E+03
   31.620              0.5607E+03                             0.1314E+04                             0.2019E+03
   31.630              0.5608E+03                             0.1314E+04                             0.2020E+03
   31.640              0.5608E+03                             0.1315E+04                             0.2020E+03
   31.650              0.5608E+03                             0.1315E+04                             0.2020E+03
   31.660              0.5609E+03                             0.1315E+04                             0.2020E+03
   31.670              0.5609E+03                             0.1315E+04                             0.2020E+03
   31.680              0.5609E+03                             0.1315E+04                             0.2020E+03
   31.690              0.5609E+03                             0.1315E+04                             0.2020E+03
   31.700              0.5610E+03                             0.1315E+04                             0.2020E+03
   31.710              0.5610E+03                             0.1315E+04                             0.2020E+03
   31.720              0.5610E+03                             0.1315E+04                             0.2021E+03
   31.730              0.5611E+03                             0.1315E+04                             0.2021E+03
   31.740              0.5611E+03                             0.1315E+04                             0.2021E+03
   31.750              0.5611E+03                             0.1315E+04                             0.2021E+03
   31.760              0.5612E+03                             0.1315E+04                             0.2021E+03
   31.770              0.5612E+03                             0.1315E+04                             0.2021E+03
   31.780              0.5612E+03                             0.1316E+04                             0.2021E+03
   31.790              0.5613E+03                             0.1316E+04                             0.2021E+03
   31.800              0.5613E+03                             0.1316E+04                             0.2021E+03
   31.810              0.5613E+03                             0.1316E+04                             0.2022E+03
   31.820              0.5613E+03                             0.1316E+04                             0.2022E+03
   31.830              0.5614E+03                             0.1316E+04                             0.2022E+03
   31.840              0.5614E+03                             0.1316E+04                             0.2022E+03
   31.850              0.5614E+03                             0.1316E+04                             0.2022E+03
   31.860              0.5615E+03                             0.1316E+04                             0.2022E+03
   31.870              0.5615E+03                             0.1316E+04                             0.2022E+03
   31.880              0.5615E+03                             0.1316E+04                             0.2022E+03
   31.890              0.5616E+03                             0.1316E+04                             0.2022E+03
   31.900              0.5616E+03                             0.1316E+04                             0.2023E+03
   31.910              0.5616E+03                             0.1316E+04                             0.2023E+03
   31.920              0.5617E+03                             0.1317E+04                             0.2023E+03
   31.930              0.5617E+03                             0.1317E+04                             0.2023E+03
   31.940              0.5617E+03                             0.1317E+04                             0.2023E+03
   31.950              0.5617E+03                             0.1317E+04                             0.2023E+03
   31.960              0.5618E+03                             0.1317E+04                             0.2023E+03
   31.970              0.5618E+03                             0.1317E+04                             0.2023E+03
   31.980              0.5618E+03                             0.1317E+04                             0.2023E+03
   31.990              0.5619E+03                             0.1317E+04                             0.2023E+03
   32.000              0.5619E+03                             0.1317E+04                             0.2024E+03
   32.010              0.5619E+03                             0.1317E+04                             0.2024E+03
   32.020              0.5620E+03                             0.1317E+04                             0.2024E+03
   32.030              0.5620E+03                             0.1317E+04                             0.2024E+03
   32.040              0.5620E+03                             0.1317E+04                             0.2024E+03
   32.050              0.5620E+03                             0.1317E+04                             0.2024E+03
   32.060              0.5621E+03                             0.1318E+04                             0.2024E+03
   32.070              0.5621E+03                             0.1318E+04                             0.2024E+03
   32.080              0.5621E+03                             0.1318E+04                             0.2024E+03
   32.090              0.5622E+03                             0.1318E+04                             0.2025E+03
   32.100              0.5622E+03                             0.1318E+04                             0.2025E+03
   32.110              0.5622E+03                             0.1318E+04                             0.2025E+03
   32.120              0.5623E+03                             0.1318E+04                             0.2025E+03
   32.130              0.5623E+03                             0.1318E+04                             0.2025E+03
   32.140              0.5623E+03                             0.1318E+04                             0.2025E+03
   32.150              0.5623E+03                             0.1318E+04                             0.2025E+03
   32.160              0.5624E+03                             0.1318E+04                             0.2025E+03
   32.170              0.5624E+03                             0.1318E+04                             0.2025E+03
   32.180              0.5624E+03                             0.1318E+04                             0.2026E+03
   32.190              0.5625E+03                             0.1318E+04                             0.2026E+03
   32.200              0.5625E+03                             0.1319E+04                             0.2026E+03
   32.210              0.5625E+03                             0.1319E+04                             0.2026E+03
   32.220              0.5626E+03                             0.1319E+04                             0.2026E+03
   32.230              0.5626E+03                             0.1319E+04                             0.2026E+03
   32.240              0.5626E+03                             0.1319E+04                             0.2026E+03
   32.250              0.5627E+03                             0.1319E+04                             0.2026E+03
   32.260              0.5627E+03                             0.1319E+04                             0.2026E+03
   32.270              0.5627E+03                             0.1319E+04                             0.2027E+03
   32.280              0.5627E+03                             0.1319E+04                             0.2027E+03
   32.290              0.5628E+03                             0.1319E+04                             0.2027E+03
   32.300              0.5628E+03                             0.1319E+04                             0.2027E+03
   32.310              0.5628E+03                             0.1319E+04                             0.2027E+03
   32.320              0.5629E+03                             0.1319E+04                             0.2027E+03
   32.330              0.5629E+03                             0.1319E+04                             0.2027E+03
   32.340              0.5629E+03                             0.1320E+04                             0.2027E+03
   32.350              0.5630E+03                             0.1320E+04                             0.2027E+03
   32.360              0.5630E+03                             0.1320E+04                             0.2028E+03
   32.370              0.5630E+03                             0.1320E+04                             0.2028E+03
   32.380              0.5630E+03                             0.1320E+04                             0.2028E+03
   32.390              0.5631E+03                             0.1320E+04                             0.2028E+03
   32.400              0.5631E+03                             0.1320E+04                             0.2028E+03
   32.410              0.5631E+03                             0.1320E+04                             0.2028E+03
   32.420              0.5632E+03                             0.1320E+04                             0.2028E+03
   32.430              0.5632E+03                             0.1320E+04                             0.2028E+03
   32.440              0.5632E+03                             0.1320E+04                             0.2028E+03
   32.450              0.5633E+03                             0.1320E+04                             0.2029E+03
   32.460              0.5633E+03                             0.1320E+04                             0.2029E+03
   32.470              0.5633E+03                             0.1320E+04                             0.2029E+03
   32.480              0.5633E+03                             0.1321E+04                             0.2029E+03
   32.490              0.5634E+03                             0.1321E+04                             0.2029E+03
   32.500              0.5634E+03                             0.1321E+04                             0.2029E+03
   32.510              0.5634E+03                             0.1321E+04                             0.2029E+03
   32.520              0.5635E+03                             0.1321E+04                             0.2029E+03
   32.530              0.5635E+03                             0.1321E+04                             0.2029E+03
   32.540              0.5635E+03                             0.1321E+04                             0.2029E+03
   32.550              0.5636E+03                             0.1321E+04                             0.2030E+03
   32.560              0.5636E+03                             0.1321E+04                             0.2030E+03
   32.570              0.5636E+03                             0.1321E+04                             0.2030E+03
   32.580              0.5636E+03                             0.1321E+04                             0.2030E+03
   32.590              0.5637E+03                             0.1321E+04                             0.2030E+03
   32.600              0.5637E+03                             0.1321E+04                             0.2030E+03
   32.610              0.5637E+03                             0.1321E+04                             0.2030E+03
   32.620              0.5638E+03                             0.1321E+04                             0.2030E+03
   32.630              0.5638E+03                             0.1322E+04                             0.2030E+03
   32.640              0.5638E+03                             0.1322E+04                             0.2031E+03
   32.650              0.5639E+03                             0.1322E+04                             0.2031E+03
   32.660              0.5639E+03                             0.1322E+04                             0.2031E+03
   32.670              0.5639E+03                             0.1322E+04                             0.2031E+03
   32.680              0.5639E+03                             0.1322E+04                             0.2031E+03
   32.690              0.5640E+03                             0.1322E+04                             0.2031E+03
   32.700              0.5640E+03                             0.1322E+04                             0.2031E+03
   32.710              0.5640E+03                             0.1322E+04                             0.2031E+03
   32.720              0.5641E+03                             0.1322E+04                             0.2031E+03
   32.730              0.5641E+03                             0.1322E+04                             0.2032E+03
   32.740              0.5641E+03                             0.1322E+04                             0.2032E+03
   32.750              0.5641E+03                             0.1322E+04                             0.2032E+03
   32.760              0.5642E+03                             0.1322E+04                             0.2032E+03
   32.770              0.5642E+03                             0.1323E+04                             0.2032E+03
   32.780              0.5642E+03                             0.1323E+04                             0.2032E+03
   32.790              0.5643E+03                             0.1323E+04                             0.2032E+03
   32.800              0.5643E+03                             0.1323E+04                             0.2032E+03
   32.810              0.5643E+03                             0.1323E+04                             0.2032E+03
   32.820              0.5644E+03                             0.1323E+04                             0.2032E+03
   32.830              0.5644E+03                             0.1323E+04                             0.2033E+03
   32.840              0.5644E+03                             0.1323E+04                             0.2033E+03
   32.850              0.5644E+03                             0.1323E+04                             0.2033E+03
   32.860              0.5645E+03                             0.1323E+04                             0.2033E+03
   32.870              0.5645E+03                             0.1323E+04                             0.2033E+03
   32.880              0.5645E+03                             0.1323E+04                             0.2033E+03
   32.890              0.5646E+03                             0.1323E+04                             0.2033E+03
   32.900              0.5646E+03                             0.1323E+04                             0.2033E+03
   32.910              0.5646E+03                             0.1324E+04                             0.2033E+03
   32.920              0.5647E+03                             0.1324E+04                             0.2034E+03
   32.930              0.5647E+03                             0.1324E+04                             0.2034E+03
   32.940              0.5647E+03                             0.1324E+04                             0.2034E+03
   32.950              0.5647E+03                             0.1324E+04                             0.2034E+03
   32.960              0.5648E+03                             0.1324E+04                             0.2034E+03
   32.970              0.5648E+03                             0.1324E+04                             0.2034E+03
   32.980              0.5648E+03                             0.1324E+04                             0.2034E+03
   32.990              0.5649E+03                             0.1324E+04                             0.2034E+03
   33.000              0.5649E+03                             0.1324E+04                             0.2034E+03
   33.010              0.5649E+03                             0.1324E+04                             0.2035E+03
   33.020              0.5649E+03                             0.1324E+04                             0.2035E+03
   33.030              0.5650E+03                             0.1324E+04                             0.2035E+03
   33.040              0.5650E+03                             0.1324E+04                             0.2035E+03
   33.050              0.5650E+03                             0.1324E+04                             0.2035E+03
   33.060              0.5651E+03                             0.1325E+04                             0.2035E+03
   33.070              0.5651E+03                             0.1325E+04                             0.2035E+03
   33.080              0.5651E+03                             0.1325E+04                             0.2035E+03
   33.090              0.5652E+03                             0.1325E+04                             0.2035E+03
   33.100              0.5652E+03                             0.1325E+04                             0.2035E+03
   33.110              0.5652E+03                             0.1325E+04                             0.2036E+03
   33.120              0.5652E+03                             0.1325E+04                             0.2036E+03
   33.130              0.5653E+03                             0.1325E+04                             0.2036E+03
   33.140              0.5653E+03                             0.1325E+04                             0.2036E+03
   33.150              0.5653E+03                             0.1325E+04                             0.2036E+03
   33.160              0.5654E+03                             0.1325E+04                             0.2036E+03
   33.170              0.5654E+03                             0.1325E+04                             0.2036E+03
   33.180              0.5654E+03                             0.1325E+04                             0.2036E+03
   33.190              0.5654E+03                             0.1325E+04                             0.2036E+03
   33.200              0.5655E+03                             0.1326E+04                             0.2037E+03
   33.210              0.5655E+03                             0.1326E+04                             0.2037E+03
   33.220              0.5655E+03                             0.1326E+04                             0.2037E+03
   33.230              0.5656E+03                             0.1326E+04                             0.2037E+03
   33.240              0.5656E+03                             0.1326E+04                             0.2037E+03
   33.250              0.5656E+03                             0.1326E+04                             0.2037E+03
   33.260              0.5657E+03                             0.1326E+04                             0.2037E+03
   33.270              0.5657E+03                             0.1326E+04                             0.2037E+03
   33.280              0.5657E+03                             0.1326E+04                             0.2037E+03
   33.290              0.5657E+03                             0.1326E+04                             0.2037E+03
   33.300              0.5658E+03                             0.1326E+04                             0.2038E+03
   33.310              0.5658E+03                             0.1326E+04                             0.2038E+03
   33.320              0.5658E+03                             0.1326E+04                             0.2038E+03
   33.330              0.5659E+03                             0.1326E+04                             0.2038E+03
   33.340              0.5659E+03                             0.1326E+04                             0.2038E+03
   33.350              0.5659E+03                             0.1327E+04                             0.2038E+03
   33.360              0.5659E+03                             0.1327E+04                             0.2038E+03
   33.370              0.5660E+03                             0.1327E+04                             0.2038E+03
   33.380              0.5660E+03                             0.1327E+04                             0.2038E+03
   33.390              0.5660E+03                             0.1327E+04                             0.2039E+03
   33.400              0.5661E+03                             0.1327E+04                             0.2039E+03
   33.410              0.5661E+03                             0.1327E+04                             0.2039E+03
   33.420              0.5661E+03                             0.1327E+04                             0.2039E+03
   33.430              0.5662E+03                             0.1327E+04                             0.2039E+03
   33.440              0.5662E+03                             0.1327E+04                             0.2039E+03
   33.450              0.5662E+03                             0.1327E+04                             0.2039E+03
   33.460              0.5662E+03                             0.1327E+04                             0.2039E+03
   33.470              0.5663E+03                             0.1327E+04                             0.2039E+03
   33.480              0.5663E+03                             0.1327E+04                             0.2039E+03
   33.490              0.5663E+03                             0.1327E+04                             0.2040E+03
   33.500              0.5664E+03                             0.1328E+04                             0.2040E+03
   33.510              0.5664E+03                             0.1328E+04                             0.2040E+03
   33.520              0.5664E+03                             0.1328E+04                             0.2040E+03
   33.530              0.5664E+03                             0.1328E+04                             0.2040E+03
   33.540              0.5665E+03                             0.1328E+04                             0.2040E+03
   33.550              0.5665E+03                             0.1328E+04                             0.2040E+03
   33.560              0.5665E+03                             0.1328E+04                             0.2040E+03
   33.570              0.5666E+03                             0.1328E+04                             0.2040E+03
   33.580              0.5666E+03                             0.1328E+04                             0.2041E+03
   33.590              0.5666E+03                             0.1328E+04                             0.2041E+03
   33.600              0.5666E+03                             0.1328E+04                             0.2041E+03
   33.610              0.5667E+03                             0.1328E+04                             0.2041E+03
   33.620              0.5667E+03                             0.1328E+04                             0.2041E+03
   33.630              0.5667E+03                             0.1328E+04                             0.2041E+03
   33.640              0.5668E+03                             0.1329E+04                             0.2041E+03
   33.650              0.5668E+03                             0.1329E+04                             0.2041E+03
   33.660              0.5668E+03                             0.1329E+04                             0.2041E+03
   33.670              0.5669E+03                             0.1329E+04                             0.2041E+03
   33.680              0.5669E+03                             0.1329E+04                             0.2042E+03
   33.690              0.5669E+03                             0.1329E+04                             0.2042E+03
   33.700              0.5669E+03                             0.1329E+04                             0.2042E+03
   33.710              0.5670E+03                             0.1329E+04                             0.2042E+03
   33.720              0.5670E+03                             0.1329E+04                             0.2042E+03
   33.730              0.5670E+03                             0.1329E+04                             0.2042E+03
   33.740              0.5671E+03                             0.1329E+04                             0.2042E+03
   33.750              0.5671E+03                             0.1329E+04                             0.2042E+03
   33.760              0.5671E+03                             0.1329E+04                             0.2042E+03
   33.770              0.5671E+03                             0.1329E+04                             0.2043E+03
   33.780              0.5672E+03                             0.1329E+04                             0.2043E+03
   33.790              0.5672E+03                             0.1330E+04                             0.2043E+03
   33.800              0.5672E+03                             0.1330E+04                             0.2043E+03
   33.810              0.5673E+03                             0.1330E+04                             0.2043E+03
   33.820              0.5673E+03                             0.1330E+04                             0.2043E+03
   33.830              0.5673E+03                             0.1330E+04                             0.2043E+03
   33.840              0.5673E+03                             0.1330E+04                             0.2043E+03
   33.850              0.5674E+03                             0.1330E+04                             0.2043E+03
   33.860              0.5674E+03                             0.1330E+04                             0.2043E+03
   33.870              0.5674E+03                             0.1330E+04                             0.2044E+03
   33.880              0.5675E+03                             0.1330E+04                             0.2044E+03
   33.890              0.5675E+03                             0.1330E+04                             0.2044E+03
   33.900              0.5675E+03                             0.1330E+04                             0.2044E+03
   33.910              0.5675E+03                             0.1330E+04                             0.2044E+03
   33.920              0.5676E+03                             0.1330E+04                             0.2044E+03
   33.930              0.5676E+03                             0.1330E+04                             0.2044E+03
   33.940              0.5676E+03                             0.1331E+04                             0.2044E+03
   33.950              0.5677E+03                             0.1331E+04                             0.2044E+03
   33.960              0.5677E+03                             0.1331E+04                             0.2044E+03
   33.970              0.5677E+03                             0.1331E+04                             0.2045E+03
   33.980              0.5677E+03                             0.1331E+04                             0.2045E+03
   33.990              0.5678E+03                             0.1331E+04                             0.2045E+03
   34.000              0.5678E+03                             0.1331E+04                             0.2045E+03
   34.010              0.5678E+03                             0.1331E+04                             0.2045E+03
   34.020              0.5679E+03                             0.1331E+04                             0.2045E+03
   34.030              0.5679E+03                             0.1331E+04                             0.2045E+03
   34.040              0.5679E+03                             0.1331E+04                             0.2045E+03
   34.050              0.5679E+03                             0.1331E+04                             0.2045E+03
   34.060              0.5680E+03                             0.1331E+04                             0.2046E+03
   34.070              0.5680E+03                             0.1331E+04                             0.2046E+03
   34.080              0.5680E+03                             0.1331E+04                             0.2046E+03
   34.090              0.5681E+03                             0.1332E+04                             0.2046E+03
   34.100              0.5681E+03                             0.1332E+04                             0.2046E+03
   34.110              0.5681E+03                             0.1332E+04                             0.2046E+03
   34.120              0.5681E+03                             0.1332E+04                             0.2046E+03
   34.130              0.5682E+03                             0.1332E+04                             0.2046E+03
   34.140              0.5682E+03                             0.1332E+04                             0.2046E+03
   34.150              0.5682E+03                             0.1332E+04                             0.2046E+03
   34.160              0.5683E+03                             0.1332E+04                             0.2047E+03
   34.170              0.5683E+03                             0.1332E+04                             0.2047E+03
   34.180              0.5683E+03                             0.1332E+04                             0.2047E+03
   34.190              0.5683E+03                             0.1332E+04                             0.2047E+03
   34.200              0.5684E+03                             0.1332E+04                             0.2047E+03
   34.210              0.5684E+03                             0.1332E+04                             0.2047E+03
   34.220              0.5684E+03                             0.1332E+04                             0.2047E+03
   34.230              0.5685E+03                             0.1332E+04                             0.2047E+03
   34.240              0.5685E+03                             0.1333E+04                             0.2047E+03
   34.250              0.5685E+03                             0.1333E+04                             0.2047E+03
   34.260              0.5685E+03                             0.1333E+04                             0.2048E+03
   34.270              0.5686E+03                             0.1333E+04                             0.2048E+03
   34.280              0.5686E+03                             0.1333E+04                             0.2048E+03
   34.290              0.5686E+03                             0.1333E+04                             0.2048E+03
   34.300              0.5687E+03                             0.1333E+04                             0.2048E+03
   34.310              0.5687E+03                             0.1333E+04                             0.2048E+03
   34.320              0.5687E+03                             0.1333E+04                             0.2048E+03
   34.330              0.5687E+03                             0.1333E+04                             0.2048E+03
   34.340              0.5688E+03                             0.1333E+04                             0.2048E+03
   34.350              0.5688E+03                             0.1333E+04                             0.2049E+03
   34.360              0.5688E+03                             0.1333E+04                             0.2049E+03
   34.370              0.5689E+03                             0.1333E+04                             0.2049E+03
   34.380              0.5689E+03                             0.1333E+04                             0.2049E+03
   34.390              0.5689E+03                             0.1334E+04                             0.2049E+03
   34.400              0.5689E+03                             0.1334E+04                             0.2049E+03
   34.410              0.5690E+03                             0.1334E+04                             0.2049E+03
   34.420              0.5690E+03                             0.1334E+04                             0.2049E+03
   34.430              0.5690E+03                             0.1334E+04                             0.2049E+03
   34.440              0.5691E+03                             0.1334E+04                             0.2049E+03
   34.450              0.5691E+03                             0.1334E+04                             0.2050E+03
   34.460              0.5691E+03                             0.1334E+04                             0.2050E+03
   34.470              0.5691E+03                             0.1334E+04                             0.2050E+03
   34.480              0.5692E+03                             0.1334E+04                             0.2050E+03
   34.490              0.5692E+03                             0.1334E+04                             0.2050E+03
   34.500              0.5692E+03                             0.1334E+04                             0.2050E+03
   34.510              0.5693E+03                             0.1334E+04                             0.2050E+03
   34.520              0.5693E+03                             0.1334E+04                             0.2050E+03
   34.530              0.5693E+03                             0.1334E+04                             0.2050E+03
   34.540              0.5693E+03                             0.1335E+04                             0.2050E+03
   34.550              0.5694E+03                             0.1335E+04                             0.2051E+03
   34.560              0.5694E+03                             0.1335E+04                             0.2051E+03
   34.570              0.5694E+03                             0.1335E+04                             0.2051E+03
   34.580              0.5695E+03                             0.1335E+04                             0.2051E+03
   34.590              0.5695E+03                             0.1335E+04                             0.2051E+03
   34.600              0.5695E+03                             0.1335E+04                             0.2051E+03
   34.610              0.5695E+03                             0.1335E+04                             0.2051E+03
   34.620              0.5696E+03                             0.1335E+04                             0.2051E+03
   34.630              0.5696E+03                             0.1335E+04                             0.2051E+03
   34.640              0.5696E+03                             0.1335E+04                             0.2051E+03
   34.650              0.5697E+03                             0.1335E+04                             0.2052E+03
   34.660              0.5697E+03                             0.1335E+04                             0.2052E+03
   34.670              0.5697E+03                             0.1335E+04                             0.2052E+03
   34.680              0.5697E+03                             0.1335E+04                             0.2052E+03
   34.690              0.5698E+03                             0.1336E+04                             0.2052E+03
   34.700              0.5698E+03                             0.1336E+04                             0.2052E+03
   34.710              0.5698E+03                             0.1336E+04                             0.2052E+03
   34.720              0.5699E+03                             0.1336E+04                             0.2052E+03
