Height (m)  50th percentile density (kg/m^3)   84th percentile density (kg/m^3)   16th percentile density (kg/m^3) 
   24.170               1.220                              1.220                              1.220
   24.180               1.220                              1.220                              1.220
   24.190               1.220                              1.220                              1.220
   24.200               1.220                              1.220                              1.220
   24.210               1.220                              1.220                              1.220
   24.220               1.220                              1.220                              1.220
   24.230               1.220                              1.220                              1.220
   24.240               1.220                              1.220                              1.220
   24.250               1.220                              1.220                              1.220
   24.260               1.220                              1.220                              1.220
   24.270               1.220                              1.220                              1.220
   24.280               1.220                              1.220                              1.220
   24.290               1.220                              1.220                              1.220
   24.300               1.220                              1.220                              1.220
   24.310               1.220                              1.220                              1.220
   24.320               1.220                              1.220                              1.220
   24.330               1.220                              1.220                              1.220
   24.340               1.220                              1.220                              1.220
   24.350               1.220                              1.220                              1.220
   24.360               1.220                              1.220                              1.220
   24.370               1.220                              1.220                              1.220
   24.380               1.220                              1.220                              1.220
   24.390               1.220                              1.220                              1.220
   24.400               1.220                              1.220                              1.220
   24.410               1.220                              1.220                              1.220
   24.420               1.220                              1.220                              1.220
   24.430               1.220                              1.220                              1.220
   24.440               1.220                              1.220                              1.220
   24.450               1.220                              1.220                              1.220
   24.460               1.220                              1.220                              1.220
   24.470               1.220                              1.220                              1.220
   24.480               1.220                              1.220                              1.220
   24.490               1.220                              1.220                              1.220
   24.500               1.220                              1.220                              1.220
   24.510               1.220                              1.220                              1.220
   24.520               1.220                              1.220                              1.220
   24.530               1.220                              1.220                              1.220
   24.540               1.220                              1.220                              1.220
   24.550               1.220                              1.220                              1.220
   24.560               1.220                              1.220                              1.220
   24.570               1.220                              1.220                              1.220
   24.580               1.220                              1.220                              1.220
   24.590               1.220                              1.220                              1.220
   24.600               1.220                              1.220                              1.220
   24.610               1.220                              1.220                              1.220
   24.620               1.220                              1.220                              1.220
   24.630               1.220                              1.220                              1.220
   24.640               1.220                              1.220                              1.220
   24.650               1.220                              1.220                              1.220
   24.660               1.220                              1.220                              1.220
   24.670               1.220                              1.220                              1.220
   24.680               1.220                              1.220                              1.220
   24.690               1.220                              1.220                              1.220
   24.700               1.220                              1.220                              1.220
   24.710               1.220                              1.220                              1.220
   24.720               1.220                              1.220                              1.220
   24.730               1.220                              1.220                              1.220
   24.740               1.220                              1.220                              1.220
   24.750               1.220                              1.220                              1.220
   24.760               1.220                              1.220                              1.220
   24.770               1.220                              1.220                              1.220
   24.780               1.220                              1.220                              1.220
   24.790               1.220                              1.220                              1.220
   24.800               1.220                              1.220                              1.220
   24.810               1.220                              1.220                              1.220
   24.820               1.220                              1.220                              1.220
   24.830               1.220                              1.220                              1.220
   24.840               1.220                              1.220                              1.220
   24.850               1.220                              1.220                              1.220
   24.860               1.220                              1.220                              1.220
   24.870               1.220                              1.220                              1.220
   24.880               1.220                              1.220                              1.220
   24.890               1.220                              1.220                              1.220
   24.900               1.220                              1.220                              1.220
   24.910               1.220                              1.220                              1.220
   24.920               1.220                              1.220                              1.220
   24.930               1.220                              1.220                              1.220
   24.940               1.220                              1.220                              1.220
   24.950               1.220                              1.220                              1.220
   24.960               1.220                              1.220                              1.220
   24.970               1.220                              1.220                              1.220
   24.980               1.220                              1.220                              1.220
   24.990               1.220                              1.220                              1.220
   25.000               1.220                              1.220                              1.220
   25.010               1.220                              1.220                              1.220
   25.020               1.220                              1.220                              1.220
   25.030               1.220                              1.220                              1.220
   25.040               1.220                              1.220                              1.220
   25.050               1.220                              1.220                              1.220
   25.060               1.220                              1.220                              1.220
   25.070               1.220                              1.220                              1.220
   25.080               1.220                              1.220                              1.220
   25.090               1.220                              1.220                              1.220
   25.100               1.220                              1.220                              1.220
   25.110               1.220                              1.220                              1.220
   25.120               1.220                              1.220                              1.220
   25.130               1.220                              1.220                              1.220
   25.140               1.220                              1.220                              1.220
   25.150               1.220                              1.220                              1.220
   25.160               1.220                              1.220                              1.220
   25.170               1.220                              1.220                              1.220
   25.180               1.220                              1.220                              1.220
   25.190               1.220                              1.220                              1.220
   25.200               1.220                              1.220                              1.220
   25.210               1.220                              1.220                              1.220
   25.220               1.220                              1.220                              1.220
   25.230               1.220                              1.220                              1.220
   25.240               1.220                              1.220                              1.220
   25.250               1.220                              1.220                              1.220
   25.260               1.220                              1.220                              1.220
   25.270               1.220                              1.220                              1.220
   25.280               1.220                              1.220                              1.220
   25.290               1.220                              1.220                              1.220
   25.300               1.220                              1.220                              1.220
   25.310               1.220                              1.220                              1.220
   25.320               1.220                              1.220                              1.220
   25.330               1.220                              1.220                              1.220
   25.340               1.220                              1.220                              1.220
   25.350               1.220                              1.220                              1.220
   25.360               1.220                              1.220                              1.220
   25.370               1.220                              1.220                              1.220
   25.380               1.220                              1.220                              1.220
   25.390               1.220                              1.220                              1.220
   25.400               1.220                              1.220                              1.220
   25.410               1.220                              1.220                              1.220
   25.420               1.220                              1.220                              1.220
   25.430               1.220                              1.220                              1.220
   25.440               1.220                              1.220                              1.220
   25.450               1.220                              1.220                              1.220
   25.460               1.220                              1.220                              1.220
   25.470               1.220                              1.220                              1.220
   25.480               1.220                              1.220                              1.220
   25.490               1.220                              1.220                              1.220
   25.500               1.220                              1.220                              1.220
   25.510               1.220                              1.220                              1.220
   25.520               1.220                              1.220                              1.220
   25.530               1.220                              1.220                              1.220
   25.540               1.220                              1.220                              1.220
   25.550               1.220                              1.220                              1.220
   25.560               1.220                              1.220                              1.220
   25.570               1.220                              1.220                              1.220
   25.580               1.220                              1.220                              1.220
   25.590               1.220                              1.220                              1.220
   25.600               1.220                              1.220                              1.220
   25.610               1.220                              1.220                              1.220
   25.620               1.220                              1.220                              1.220
   25.630               1.220                              1.220                              1.220
   25.640               1.220                              1.220                              1.220
   25.650               1.220                              1.220                              1.220
   25.660               1.220                              1.220                              1.220
   25.670               1.220                              1.220                              1.220
   25.680               1.220                              1.220                              1.220
   25.690               1.220                              1.220                              1.220
   25.700               1.220                              1.220                              1.220
   25.710               1.220                              1.220                              1.220
   25.720               1.220                              1.220                              1.220
   25.730               1.220                              1.220                              1.220
   25.740               1.220                              1.220                              1.220
   25.750               1.220                              1.220                              1.220
   25.760               1.220                              1.220                              1.220
   25.770               1.220                              1.220                              1.220
   25.780               1.220                              1.220                              1.220
   25.790               1.220                              1.220                              1.220
   25.800               1.220                              1.220                              1.220
   25.810               1.220                              1.220                              1.220
   25.820               1.220                              1.220                              1.220
   25.830               1.220                              1.220                              1.220
   25.840               1.220                              1.220                              1.220
   25.850               1.220                              1.220                              1.220
   25.860               1.220                              1.220                              1.220
   25.870               1.220                              1.220                              1.220
   25.880               1.220                              1.220                              1.220
   25.890               1.220                              1.220                              1.220
   25.900               1.220                              1.220                              1.220
   25.910               1.220                              1.220                              1.220
   25.920               1.220                              1.220                              1.220
   25.930               1.220                              1.220                              1.220
   25.940               1.220                              1.220                              1.220
   25.950               1.220                              1.220                              1.220
   25.960               1.220                              1.220                              1.220
   25.970               1.220                              1.220                              1.220
   25.980               1.220                              1.220                              1.220
   25.990               1.220                              1.220                              1.220
   26.000               1.220                              1.220                              1.220
   26.010               1.220                              1.220                              1.220
   26.020               1.220                              1.220                              1.220
   26.030               1.220                              1.220                              1.220
   26.040               1.220                              1.220                              1.220
   26.050               1.220                              1.220                              1.220
   26.060               1.220                              1.220                              1.220
   26.070               1.220                              1.220                              1.220
   26.080               1.220                              1.220                              1.220
   26.090               1.220                              1.220                              1.220
   26.100               1.220                              1.220                              1.220
   26.110               1.220                              1.220                              1.220
   26.120               1.220                              1.220                              1.220
   26.130               1.220                              1.220                              1.220
   26.140               1.220                              1.220                              1.220
   26.150               1.220                              1.220                              1.220
   26.160               1.220                              1.220                              1.220
   26.170               1.220                              1.220                              1.220
   26.180               1.220                              1.220                              1.220
   26.190               1.220                              1.220                              1.220
   26.200               1.220                              1.220                              1.220
   26.210               1.220                              1.220                              1.220
   26.220               1.220                              1.220                              1.220
   26.230               1.220                              1.220                              1.220
   26.240               1.220                              1.220                              1.220
   26.250               1.220                              1.220                              1.220
   26.260               1.220                              1.220                              1.220
   26.270               1.220                              1.220                              1.220
   26.280               1.220                              1.220                              1.220
   26.290               1.220                              1.220                              1.220
   26.300               1.220                              1.220                              1.220
   26.310               1.220                              1.220                              1.220
   26.320               1.220                              1.220                              1.220
   26.330               1.220                              1.220                              1.220
   26.340               1.220                              1.220                              1.220
   26.350               1.220                              1.220                              1.220
   26.360               1.220                              1.220                              1.220
   26.370               1.220                              1.220                              1.220
   26.380               1.220                              1.220                              1.220
   26.390               1.220                              1.220                              1.220
   26.400               1.220                              1.220                              1.220
   26.410               1.220                              1.220                              1.220
   26.420               1.220                              1.220                              1.220
   26.430               1.220                              1.220                              1.220
   26.440               1.220                              1.220                              1.220
   26.450               1.220                              1.220                              1.220
   26.460               1.220                              1.220                              1.220
   26.470               1.220                              1.220                              1.220
   26.480               1.220                              1.220                              1.220
   26.490               1.220                              1.220                              1.220
   26.500               1.220                              1.220                              1.220
   26.510               1.220                              1.220                              1.220
   26.520               1.220                              1.220                              1.220
   26.530               1.220                              1.220                              1.220
   26.540               1.220                              1.220                              1.220
   26.550               1.220                              1.220                              1.220
   26.560               1.220                              1.220                              1.220
   26.570               1.220                              1.220                              1.220
   26.580               1.220                              1.220                              1.220
   26.590               1.220                              1.220                              1.220
   26.600               1.220                              1.220                              1.220
   26.610               1.220                              1.220                              1.220
   26.620               1.220                              1.220                              1.220
   26.630               1.220                              1.220                              1.220
   26.640               1.220                              1.220                              1.220
   26.650               1.220                              1.220                              1.220
   26.660               1.220                              1.220                              1.220
   26.670               1.220                              1.220                              1.220
   26.680               1.220                              1.220                              1.220
   26.690               1.220                              1.220                              1.220
   26.700               1.220                              1.220                              1.220
   26.710               1.220                              1.220                              1.220
   26.720               1.220                              1.220                              1.220
   26.730               1.220                              1.220                              1.220
   26.740               1.220                              1.220                              1.220
   26.750               1.220                              1.220                              1.220
   26.760               1.220                              1.220                              1.220
   26.770               1.220                              1.220                              1.220
   26.780               1.220                              1.220                              1.220
   26.790               1.220                              1.220                              1.220
   26.800               1.220                              1.220                              1.220
   26.810               1.220                              1.220                              1.220
   26.820               1.220                              1.220                              1.220
   26.830               1.220                              1.220                              1.220
   26.840               1.220                              1.220                              1.220
   26.850               1.220                              1.220                              1.220
   26.860               1.220                              1.220                              1.220
   26.870               1.220                              1.220                              1.220
   26.880               1.220                              1.220                              1.220
   26.890               1.220                              1.220                              1.220
   26.900               1.220                              1.220                              1.220
   26.910               1.220                              1.220                              1.220
   26.920               1.220                              1.220                              1.220
   26.930               1.220                              1.220                              1.220
   26.940               1.220                              1.220                              1.220
   26.950               1.220                              1.220                              1.220
   26.960               1.220                              1.220                              1.220
   26.970               1.220                              1.220                              1.220
   26.980               1.220                              1.220                              1.220
   26.990               1.220                              1.220                              1.220
   27.000               1.220                              1.220                              1.220
   27.010               1.220                              1.220                              1.220
   27.020               1.220                              1.220                              1.220
   27.030               1.220                              1.220                              1.220
   27.040               1.220                              1.220                              1.220
   27.050               1.220                              1.220                              1.220
   27.060               1.220                              1.220                              1.220
   27.070               1.220                              1.220                              1.220
   27.080               1.220                              1.220                              1.220
   27.090               1.220                              1.220                              1.220
   27.100               1.220                              1.220                              1.220
   27.110               1.220                              1.220                              1.220
   27.120               1.220                              1.220                              1.220
   27.130               1.220                              1.220                              1.220
   27.140               1.220                              1.220                              1.220
   27.150               1.220                              1.220                              1.220
   27.160               1.220                              1.220                              1.220
   27.170               1.220                              1.220                              1.220
   27.180               1.220                              1.220                              1.220
   27.190               1.220                              1.220                              1.220
   27.200               1.220                              1.220                              1.220
   27.210               1.220                              1.220                              1.220
   27.220               1.220                              1.220                              1.220
   27.230               1.220                              1.220                              1.220
   27.240               1.220                              1.220                              1.220
   27.250               1.220                              1.220                              1.220
   27.260               1.220                              1.220                              1.220
   27.270               1.220                              1.220                              1.220
   27.280               1.220                              1.220                              1.220
   27.290               1.220                              1.220                              1.220
   27.300               1.220                              1.220                              1.220
   27.310               1.220                              1.220                              1.220
   27.320               1.220                              1.220                              1.220
   27.330               1.220                              1.220                              1.220
   27.340               1.220                              1.220                              1.220
   27.350               1.220                              1.220                              1.220
   27.360               1.220                              1.220                              1.220
   27.370               1.220                              1.220                              1.220
   27.380               1.220                              1.220                              1.220
   27.390               1.220                              1.220                              1.220
   27.400               1.220                              1.220                              1.220
   27.410               1.220                              1.220                              1.220
   27.420               1.220                              1.220                              1.220
   27.430               1.220                              1.220                              1.220
   27.440               1.220                              1.220                              1.220
   27.450               1.220                              1.220                              1.220
   27.460               1.220                              1.220                              1.220
   27.470               1.220                              1.220                              1.220
   27.480               1.220                              1.220                              1.220
   27.490               1.220                              1.220                              1.220
   27.500               1.220                              1.220                              1.220
   27.510               1.220                              1.220                              1.220
   27.520               1.220                              1.220                              1.220
   27.530               1.220                              1.220                              1.220
   27.540               1.220                              1.220                              1.220
   27.550               1.220                              1.220                              1.220
   27.560               1.220                              1.220                              1.220
   27.570               1.220                              1.220                              1.220
   27.580               1.220                              1.220                              1.220
   27.590               1.220                              1.220                              1.220
   27.600               1.220                              1.220                              1.220
   27.610               1.220                              1.220                              1.220
   27.620               1.220                              1.220                              1.220
   27.630               1.220                              1.220                              1.220
   27.640               1.220                              1.220                              1.220
   27.650               1.220                              1.220                              1.220
   27.660               1.220                              1.220                              1.220
   27.670               1.220                              1.220                              1.220
   27.680               1.220                              1.220                              1.220
   27.690               1.220                              1.220                              1.220
   27.700               1.220                              1.220                              1.220
   27.710               1.220                              1.220                              1.220
   27.720               1.220                              1.220                              1.220
   27.730               1.220                              1.220                              1.220
   27.740               1.220                              1.220                              1.220
   27.750               1.220                              1.220                              1.220
   27.760               1.220                              1.220                              1.220
   27.770               1.220                              1.220                              1.220
   27.780               1.220                              1.220                              1.220
   27.790               1.220                              1.220                              1.220
   27.800               1.220                              1.220                              1.220
   27.810               1.220                              1.220                              1.220
   27.820               1.220                              1.220                              1.220
   27.830               1.220                              1.220                              1.220
   27.840               1.220                              1.220                              1.220
   27.850               1.220                              1.220                              1.220
   27.860               1.220                              1.220                              1.220
   27.870               1.220                              1.220                              1.220
   27.880               1.220                              1.220                              1.220
   27.890               1.220                              1.220                              1.220
   27.900               1.220                              1.220                              1.220
   27.910               1.220                              1.220                              1.220
   27.920               1.220                              1.220                              1.220
   27.930               1.220                              1.220                              1.220
   27.940               1.220                              1.220                              1.220
   27.950               1.220                              1.220                              1.220
   27.960               1.220                              1.220                              1.220
   27.970               1.220                              1.220                              1.220
   27.980               1.220                              1.220                              1.220
   27.990               1.220                              1.220                              1.220
   28.000               1.220                              1.220                              1.220
   28.010               1.220                              1.220                              1.220
   28.020               1.220                              1.220                              1.220
   28.030               1.220                              1.220                              1.220
   28.040               1.220                              1.220                              1.220
   28.050               1.220                              1.220                              1.220
   28.060               1.220                              1.220                              1.220
   28.070               1.220                              1.220                              1.220
   28.080               1.220                              1.220                              1.220
   28.090               1.220                              1.220                              1.220
   28.100               1.220                              1.220                              1.220
   28.110               1.220                              1.220                              1.220
   28.120               1.220                              1.220                              1.220
   28.130               1.220                              1.220                              1.220
   28.140               1.220                              1.220                              1.220
   28.150               1.220                              1.220                              1.220
   28.160               1.220                              1.220                              1.220
   28.170               1.220                              1.220                              1.220
   28.180               1.220                              1.220                              1.220
   28.190               1.220                              1.220                              1.220
   28.200               1.220                              1.220                              1.220
   28.210               1.220                              1.220                              1.220
   28.220               1.220                              1.220                              1.220
   28.230               1.220                              1.220                              1.220
   28.240               1.220                              1.220                              1.220
   28.250               1.220                              1.220                              1.220
   28.260               1.220                              1.220                              1.220
   28.270               1.220                              1.220                              1.220
   28.280               1.220                              1.220                              1.220
   28.290               1.220                              1.220                              1.220
   28.300               1.220                              1.220                              1.220
   28.310               1.220                              1.220                              1.220
   28.320               1.220                              1.220                              1.220
   28.330               1.220                              1.220                              1.220
   28.340               1.220                              1.220                              1.220
   28.350               1.220                              1.220                              1.220
   28.360               1.220                              1.220                              1.220
   28.370               1.220                              1.220                              1.220
   28.380               1.220                              1.220                              1.220
   28.390               1.220                              1.220                              1.220
   28.400               1.220                              1.220                              1.220
   28.410               1.220                              1.220                              1.220
   28.420               1.220                              1.220                              1.220
   28.430               1.220                              1.220                              1.220
   28.440               1.220                              1.220                              1.220
   28.450               1.220                              1.220                              1.220
   28.460               1.220                              1.220                              1.220
   28.470               1.220                              1.220                              1.220
   28.480               1.220                              1.220                              1.220
   28.490               1.220                              1.220                              1.220
   28.500               1.220                              1.220                              1.220
   28.510               1.220                              1.220                              1.220
   28.520               1.220                              1.220                              1.220
   28.530               1.220                              1.220                              1.220
   28.540               1.220                              1.220                              1.220
   28.550               1.220                              1.220                              1.220
   28.560               1.220                              1.220                              1.220
   28.570               1.220                              1.220                              1.220
   28.580               1.220                              1.220                              1.220
   28.590               1.220                              1.220                              1.220
   28.600               1.220                              1.220                              1.220
   28.610               1.220                              1.220                              1.220
   28.620               1.220                              1.220                              1.220
   28.630               1.220                              1.220                              1.220
   28.640               1.220                              1.220                              1.220
   28.650               1.220                              1.220                              1.220
   28.660               1.220                              1.220                              1.220
