Height (m)  50th percentile density (kg/m^3)   84th percentile density (kg/m^3)   16th percentile density (kg/m^3) 
    1.880               1.233                              1.220                              1.248
    1.890               1.233                              1.220                              1.248
    1.900               1.233                              1.220                              1.247
    1.910               1.232                              1.220                              1.247
    1.920               1.232                              1.220                              1.247
    1.930               1.232                              1.220                              1.247
    1.940               1.232                              1.220                              1.246
    1.950               1.232                              1.220                              1.246
    1.960               1.232                              1.220                              1.246
    1.970               1.232                              1.220                              1.246
    1.980               1.231                              1.220                              1.245
    1.990               1.231                              1.220                              1.245
    2.000               1.231                              1.220                              1.245
    2.010               1.231                              1.220                              1.245
    2.020               1.231                              1.220                              1.245
    2.030               1.231                              1.220                              1.244
    2.040               1.231                              1.220                              1.244
    2.050               1.231                              1.220                              1.244
    2.060               1.230                              1.220                              1.244
    2.070               1.230                              1.220                              1.244
    2.080               1.230                              1.220                              1.243
    2.090               1.230                              1.220                              1.243
    2.100               1.230                              1.220                              1.243
    2.110               1.230                              1.220                              1.243
    2.120               1.230                              1.220                              1.243
    2.130               1.230                              1.220                              1.242
    2.140               1.230                              1.220                              1.242
    2.150               1.229                              1.220                              1.242
    2.160               1.229                              1.220                              1.242
    2.170               1.229                              1.220                              1.242
    2.180               1.229                              1.220                              1.242
    2.190               1.229                              1.220                              1.241
    2.200               1.229                              1.220                              1.241
    2.210               1.229                              1.220                              1.241
    2.220               1.229                              1.220                              1.241
    2.230               1.229                              1.220                              1.241
    2.240               1.229                              1.220                              1.241
    2.250               1.229                              1.220                              1.240
    2.260               1.228                              1.220                              1.240
    2.270               1.228                              1.220                              1.240
    2.280               1.228                              1.220                              1.240
    2.290               1.228                              1.220                              1.240
    2.300               1.228                              1.220                              1.240
    2.310               1.228                              1.220                              1.240
    2.320               1.228                              1.220                              1.239
    2.330               1.228                              1.220                              1.239
    2.340               1.228                              1.220                              1.239
    2.350               1.228                              1.220                              1.239
    2.360               1.228                              1.220                              1.239
    2.370               1.228                              1.220                              1.239
    2.380               1.227                              1.220                              1.239
    2.390               1.227                              1.220                              1.238
    2.400               1.227                              1.220                              1.238
    2.410               1.227                              1.220                              1.238
    2.420               1.227                              1.220                              1.238
    2.430               1.227                              1.220                              1.238
    2.440               1.227                              1.220                              1.238
    2.450               1.227                              1.220                              1.238
    2.460               1.227                              1.220                              1.238
    2.470               1.227                              1.220                              1.237
    2.480               1.227                              1.220                              1.237
    2.490               1.227                              1.220                              1.237
    2.500               1.227                              1.220                              1.237
    2.510               1.227                              1.220                              1.237
    2.520               1.227                              1.220                              1.237
    2.530               1.227                              1.220                              1.237
    2.540               1.226                              1.220                              1.237
    2.550               1.226                              1.220                              1.237
    2.560               1.226                              1.220                              1.236
    2.570               1.226                              1.220                              1.236
    2.580               1.226                              1.220                              1.236
    2.590               1.226                              1.220                              1.236
    2.600               1.226                              1.220                              1.236
    2.610               1.226                              1.220                              1.236
    2.620               1.226                              1.220                              1.236
    2.630               1.226                              1.220                              1.236
    2.640               1.226                              1.220                              1.236
    2.650               1.226                              1.220                              1.235
    2.660               1.226                              1.220                              1.235
    2.670               1.226                              1.220                              1.235
    2.680               1.226                              1.220                              1.235
    2.690               1.226                              1.220                              1.235
    2.700               1.226                              1.220                              1.235
    2.710               1.226                              1.220                              1.235
    2.720               1.226                              1.220                              1.235
    2.730               1.225                              1.220                              1.235
    2.740               1.225                              1.220                              1.235
    2.750               1.225                              1.220                              1.235
    2.760               1.225                              1.220                              1.234
    2.770               1.225                              1.220                              1.234
    2.780               1.225                              1.220                              1.234
    2.790               1.225                              1.220                              1.234
    2.800               1.225                              1.220                              1.234
    2.810               1.225                              1.220                              1.234
    2.820               1.225                              1.220                              1.234
    2.830               1.225                              1.220                              1.234
    2.840               1.225                              1.220                              1.234
    2.850               1.225                              1.220                              1.234
    2.860               1.225                              1.220                              1.234
    2.870               1.225                              1.220                              1.233
    2.880               1.225                              1.220                              1.233
    2.890               1.225                              1.220                              1.233
    2.900               1.225                              1.220                              1.233
    2.910               1.225                              1.220                              1.233
    2.920               1.225                              1.220                              1.233
    2.930               1.225                              1.220                              1.233
    2.940               1.225                              1.220                              1.233
    2.950               1.225                              1.220                              1.233
    2.960               1.225                              1.220                              1.233
    2.970               1.224                              1.220                              1.233
    2.980               1.224                              1.220                              1.233
    2.990               1.224                              1.220                              1.233
    3.000               1.224                              1.220                              1.233
    3.010               1.224                              1.220                              1.232
    3.020               1.224                              1.220                              1.232
    3.030               1.224                              1.220                              1.232
    3.040               1.224                              1.220                              1.232
    3.050               1.224                              1.220                              1.232
    3.060               1.224                              1.220                              1.232
    3.070               1.224                              1.220                              1.232
    3.080               1.224                              1.220                              1.232
    3.090               1.224                              1.220                              1.232
    3.100               1.224                              1.220                              1.232
    3.110               1.224                              1.220                              1.232
    3.120               1.224                              1.220                              1.232
    3.130               1.224                              1.220                              1.232
    3.140               1.224                              1.220                              1.232
    3.150               1.224                              1.220                              1.232
    3.160               1.224                              1.220                              1.231
    3.170               1.224                              1.220                              1.231
    3.180               1.224                              1.220                              1.231
    3.190               1.224                              1.220                              1.231
    3.200               1.224                              1.220                              1.231
    3.210               1.224                              1.220                              1.231
    3.220               1.224                              1.220                              1.231
    3.230               1.224                              1.220                              1.231
    3.240               1.224                              1.220                              1.231
    3.250               1.224                              1.220                              1.231
    3.260               1.224                              1.220                              1.231
    3.270               1.224                              1.220                              1.231
    3.280               1.224                              1.220                              1.231
    3.290               1.224                              1.220                              1.231
    3.300               1.224                              1.220                              1.231
    3.310               1.223                              1.220                              1.231
    3.320               1.223                              1.220                              1.231
    3.330               1.223                              1.220                              1.230
    3.340               1.223                              1.220                              1.230
    3.350               1.223                              1.220                              1.230
    3.360               1.223                              1.220                              1.230
    3.370               1.223                              1.220                              1.230
    3.380               1.223                              1.220                              1.230
    3.390               1.223                              1.220                              1.230
    3.400               1.223                              1.220                              1.230
    3.410               1.223                              1.220                              1.230
    3.420               1.223                              1.220                              1.230
    3.430               1.223                              1.220                              1.230
    3.440               1.223                              1.220                              1.230
    3.450               1.223                              1.220                              1.230
    3.460               1.223                              1.220                              1.230
    3.470               1.223                              1.220                              1.230
    3.480               1.223                              1.220                              1.230
    3.490               1.223                              1.220                              1.230
    3.500               1.223                              1.220                              1.230
    3.510               1.223                              1.220                              1.230
    3.520               1.223                              1.220                              1.230
    3.530               1.223                              1.220                              1.229
    3.540               1.223                              1.220                              1.229
    3.550               1.223                              1.220                              1.229
    3.560               1.223                              1.220                              1.229
    3.570               1.223                              1.220                              1.229
    3.580               1.223                              1.220                              1.229
    3.590               1.223                              1.220                              1.229
    3.600               1.223                              1.220                              1.229
    3.610               1.223                              1.220                              1.229
    3.620               1.223                              1.220                              1.229
    3.630               1.223                              1.220                              1.229
    3.640               1.223                              1.220                              1.229
    3.650               1.223                              1.220                              1.229
    3.660               1.223                              1.220                              1.229
    3.670               1.223                              1.220                              1.229
    3.680               1.223                              1.220                              1.229
    3.690               1.223                              1.220                              1.229
    3.700               1.223                              1.220                              1.229
    3.710               1.223                              1.220                              1.229
    3.720               1.223                              1.220                              1.229
    3.730               1.223                              1.220                              1.229
    3.740               1.223                              1.220                              1.229
    3.750               1.223                              1.220                              1.229
    3.760               1.223                              1.220                              1.228
    3.770               1.223                              1.220                              1.228
    3.780               1.223                              1.220                              1.228
    3.790               1.223                              1.220                              1.228
    3.800               1.223                              1.220                              1.228
    3.810               1.223                              1.220                              1.228
    3.820               1.223                              1.220                              1.228
    3.830               1.222                              1.220                              1.228
    3.840               1.222                              1.220                              1.228
    3.850               1.222                              1.220                              1.228
    3.860               1.222                              1.220                              1.228
    3.870               1.222                              1.220                              1.228
    3.880               1.222                              1.220                              1.228
    3.890               1.222                              1.220                              1.228
    3.900               1.222                              1.220                              1.228
    3.910               1.222                              1.220                              1.228
    3.920               1.222                              1.220                              1.228
    3.930               1.222                              1.220                              1.228
    3.940               1.222                              1.220                              1.228
    3.950               1.222                              1.220                              1.228
    3.960               1.222                              1.220                              1.228
    3.970               1.222                              1.220                              1.228
    3.980               1.222                              1.220                              1.228
    3.990               1.222                              1.220                              1.228
    4.000               1.222                              1.220                              1.228
    4.010               1.222                              1.220                              1.228
    4.020               1.222                              1.220                              1.228
    4.030               1.222                              1.220                              1.228
    4.040               1.222                              1.220                              1.228
    4.050               1.222                              1.220                              1.227
    4.060               1.222                              1.220                              1.227
    4.070               1.222                              1.220                              1.227
    4.080               1.222                              1.220                              1.227
    4.090               1.222                              1.220                              1.227
    4.100               1.222                              1.220                              1.227
    4.110               1.222                              1.220                              1.227
    4.120               1.222                              1.220                              1.227
    4.130               1.222                              1.220                              1.227
    4.140               1.222                              1.220                              1.227
    4.150               1.222                              1.220                              1.227
    4.160               1.222                              1.220                              1.227
    4.170               1.222                              1.220                              1.227
    4.180               1.222                              1.220                              1.227
    4.190               1.222                              1.220                              1.227
    4.200               1.222                              1.220                              1.227
