 Solution Component Class     dp (m)     ps(-)  wt(m s^-1)     Pn(-)       C(-) rhos(kg m^-3) R(kg m^-1 s^-2)
       1          4     5  0.250E-03  0.183E-01    0.7396     1.6752  0.398E-05      2400.000       0.707E-02
       1          4     6  0.177E-03  0.193E-01    0.5349     1.2115  0.581E-05      2400.000       0.746E-02
       1          4     7  0.125E-03  0.294E-01    0.3740     0.8471  0.127E-04      2400.000       0.114E-01
       1          4     8  0.884E-04  0.320E-01    0.2501     0.5664  0.206E-04      2400.000       0.124E-01
       1          4     9  0.625E-04  0.336E-01    0.1576     0.3569  0.343E-04      2400.000       0.130E-01
       1          4    10  0.442E-04  0.300E-01    0.0918     0.2079  0.526E-04      2400.000       0.116E-01
       1          4    11  0.313E-04  0.172E-01    0.0482     0.1091  0.575E-04      2400.000       0.665E-02
       1          4    12  0.221E-04  0.113E-01    0.0221     0.0500  0.824E-04      2400.000       0.437E-02
       1          4    13  0.156E-04  0.620E-02    0.0088     0.0200  0.113E-03      2400.000       0.240E-02
       1          4    14  0.110E-04  0.400E-02    0.0033     0.0074  0.197E-03      2400.000       0.155E-02
 
       2          1     1  0.141E-02  0.100E-02    4.4139     6.5305  0.650E-08      3280.000       0.941E-04
       2          1     2  0.100E-02  0.390E-02    3.5258     5.2165  0.317E-07      3280.000       0.367E-03
       2          1     3  0.707E-03  0.120E-01    2.7744     4.1048  0.124E-06      3280.000       0.113E-02
       2          1     4  0.500E-03  0.110E-01    2.1406     3.1671  0.147E-06      3280.000       0.103E-02
       2          1     5  0.354E-03  0.187E-01    1.6153     2.3900  0.332E-06      3280.000       0.176E-02
       2          1     6  0.250E-03  0.244E-01    1.1892     1.7595  0.588E-06      3280.000       0.230E-02
       2          1     7  0.177E-03  0.252E-01    0.8500     1.2576  0.850E-06      3280.000       0.237E-02
       2          1     8  0.125E-03  0.260E-01    0.5845     0.8649  0.128E-05      3280.000       0.245E-02
       2          1     9  0.884E-04  0.283E-01    0.3817     0.5648  0.213E-05      3280.000       0.266E-02
       2          1    10  0.625E-04  0.297E-01    0.2326     0.3441  0.366E-05      3280.000       0.279E-02
