Height (m)  50th percentile particle concentration (-)  84th percentile particle concentration (-)  16th percentile particle concentration (-)
   19.890             0.19265E-07                                  0.40572E-12                                  0.21787E-06
   19.900             0.19238E-07                                  0.40399E-12                                  0.21767E-06
   19.910             0.19211E-07                                  0.40227E-12                                  0.21748E-06
   19.920             0.19184E-07                                  0.40055E-12                                  0.21728E-06
   19.930             0.19157E-07                                  0.39884E-12                                  0.21709E-06
   19.940             0.19131E-07                                  0.39714E-12                                  0.21689E-06
   19.950             0.19104E-07                                  0.39544E-12                                  0.21670E-06
   19.960             0.19078E-07                                  0.39376E-12                                  0.21650E-06
   19.970             0.19051E-07                                  0.39207E-12                                  0.21631E-06
   19.980             0.19024E-07                                  0.39040E-12                                  0.21611E-06
   19.990             0.18998E-07                                  0.38873E-12                                  0.21592E-06
   20.000             0.18972E-07                                  0.38707E-12                                  0.21573E-06
   20.010             0.18945E-07                                  0.38541E-12                                  0.21553E-06
   20.020             0.18919E-07                                  0.38376E-12                                  0.21534E-06
   20.030             0.18893E-07                                  0.38212E-12                                  0.21515E-06
   20.040             0.18866E-07                                  0.38048E-12                                  0.21496E-06
   20.050             0.18840E-07                                  0.37885E-12                                  0.21476E-06
   20.060             0.18814E-07                                  0.37723E-12                                  0.21457E-06
   20.070             0.18788E-07                                  0.37561E-12                                  0.21438E-06
   20.080             0.18762E-07                                  0.37400E-12                                  0.21419E-06
   20.090             0.18736E-07                                  0.37240E-12                                  0.21400E-06
   20.100             0.18710E-07                                  0.37080E-12                                  0.21381E-06
   20.110             0.18684E-07                                  0.36921E-12                                  0.21362E-06
   20.120             0.18658E-07                                  0.36762E-12                                  0.21343E-06
   20.130             0.18632E-07                                  0.36604E-12                                  0.21324E-06
   20.140             0.18606E-07                                  0.36447E-12                                  0.21305E-06
   20.150             0.18581E-07                                  0.36290E-12                                  0.21286E-06
   20.160             0.18555E-07                                  0.36134E-12                                  0.21267E-06
   20.170             0.18529E-07                                  0.35979E-12                                  0.21248E-06
   20.180             0.18504E-07                                  0.35824E-12                                  0.21229E-06
   20.190             0.18478E-07                                  0.35670E-12                                  0.21210E-06
   20.200             0.18453E-07                                  0.35517E-12                                  0.21191E-06
   20.210             0.18427E-07                                  0.35364E-12                                  0.21173E-06
   20.220             0.18402E-07                                  0.35211E-12                                  0.21154E-06
   20.230             0.18377E-07                                  0.35060E-12                                  0.21135E-06
   20.240             0.18351E-07                                  0.34909E-12                                  0.21116E-06
   20.250             0.18326E-07                                  0.34758E-12                                  0.21098E-06
   20.260             0.18301E-07                                  0.34608E-12                                  0.21079E-06
   20.270             0.18275E-07                                  0.34459E-12                                  0.21060E-06
   20.280             0.18250E-07                                  0.34310E-12                                  0.21042E-06
   20.290             0.18225E-07                                  0.34162E-12                                  0.21023E-06
   20.300             0.18200E-07                                  0.34015E-12                                  0.21005E-06
   20.310             0.18175E-07                                  0.33868E-12                                  0.20986E-06
   20.320             0.18150E-07                                  0.33721E-12                                  0.20967E-06
   20.330             0.18125E-07                                  0.33575E-12                                  0.20949E-06
   20.340             0.18100E-07                                  0.33430E-12                                  0.20931E-06
   20.350             0.18075E-07                                  0.33286E-12                                  0.20912E-06
   20.360             0.18051E-07                                  0.33142E-12                                  0.20894E-06
   20.370             0.18026E-07                                  0.32998E-12                                  0.20875E-06
   20.380             0.18001E-07                                  0.32855E-12                                  0.20857E-06
   20.390             0.17977E-07                                  0.32713E-12                                  0.20839E-06
   20.400             0.17952E-07                                  0.32571E-12                                  0.20820E-06
   20.410             0.17927E-07                                  0.32430E-12                                  0.20802E-06
   20.420             0.17903E-07                                  0.32289E-12                                  0.20784E-06
   20.430             0.17878E-07                                  0.32149E-12                                  0.20765E-06
   20.440             0.17854E-07                                  0.32010E-12                                  0.20747E-06
   20.450             0.17829E-07                                  0.31871E-12                                  0.20729E-06
   20.460             0.17805E-07                                  0.31733E-12                                  0.20711E-06
   20.470             0.17781E-07                                  0.31595E-12                                  0.20693E-06
   20.480             0.17756E-07                                  0.31457E-12                                  0.20675E-06
   20.490             0.17732E-07                                  0.31321E-12                                  0.20656E-06
   20.500             0.17708E-07                                  0.31184E-12                                  0.20638E-06
   20.510             0.17684E-07                                  0.31049E-12                                  0.20620E-06
   20.520             0.17660E-07                                  0.30914E-12                                  0.20602E-06
   20.530             0.17636E-07                                  0.30779E-12                                  0.20584E-06
   20.540             0.17612E-07                                  0.30645E-12                                  0.20566E-06
   20.550             0.17588E-07                                  0.30512E-12                                  0.20548E-06
   20.560             0.17564E-07                                  0.30379E-12                                  0.20530E-06
   20.570             0.17540E-07                                  0.30246E-12                                  0.20512E-06
   20.580             0.17516E-07                                  0.30114E-12                                  0.20495E-06
   20.590             0.17492E-07                                  0.29983E-12                                  0.20477E-06
   20.600             0.17468E-07                                  0.29852E-12                                  0.20459E-06
   20.610             0.17444E-07                                  0.29722E-12                                  0.20441E-06
   20.620             0.17421E-07                                  0.29592E-12                                  0.20423E-06
   20.630             0.17397E-07                                  0.29463E-12                                  0.20406E-06
   20.640             0.17373E-07                                  0.29334E-12                                  0.20388E-06
   20.650             0.17350E-07                                  0.29206E-12                                  0.20370E-06
   20.660             0.17326E-07                                  0.29078E-12                                  0.20352E-06
   20.670             0.17303E-07                                  0.28951E-12                                  0.20335E-06
   20.680             0.17279E-07                                  0.28824E-12                                  0.20317E-06
   20.690             0.17256E-07                                  0.28698E-12                                  0.20299E-06
   20.700             0.17233E-07                                  0.28572E-12                                  0.20282E-06
   20.710             0.17209E-07                                  0.28447E-12                                  0.20264E-06
   20.720             0.17186E-07                                  0.28322E-12                                  0.20247E-06
   20.730             0.17163E-07                                  0.28198E-12                                  0.20229E-06
   20.740             0.17139E-07                                  0.28074E-12                                  0.20212E-06
   20.750             0.17116E-07                                  0.27951E-12                                  0.20194E-06
   20.760             0.17093E-07                                  0.27829E-12                                  0.20177E-06
   20.770             0.17070E-07                                  0.27706E-12                                  0.20159E-06
   20.780             0.17047E-07                                  0.27585E-12                                  0.20142E-06
   20.790             0.17024E-07                                  0.27463E-12                                  0.20124E-06
   20.800             0.17001E-07                                  0.27343E-12                                  0.20107E-06
   20.810             0.16978E-07                                  0.27222E-12                                  0.20090E-06
   20.820             0.16955E-07                                  0.27103E-12                                  0.20072E-06
   20.830             0.16932E-07                                  0.26983E-12                                  0.20055E-06
   20.840             0.16909E-07                                  0.26865E-12                                  0.20038E-06
   20.850             0.16887E-07                                  0.26746E-12                                  0.20020E-06
   20.860             0.16864E-07                                  0.26628E-12                                  0.20003E-06
   20.870             0.16841E-07                                  0.26511E-12                                  0.19986E-06
   20.880             0.16818E-07                                  0.26394E-12                                  0.19969E-06
   20.890             0.16796E-07                                  0.26278E-12                                  0.19952E-06
   20.900             0.16773E-07                                  0.26162E-12                                  0.19935E-06
   20.910             0.16751E-07                                  0.26046E-12                                  0.19917E-06
   20.920             0.16728E-07                                  0.25931E-12                                  0.19900E-06
   20.930             0.16706E-07                                  0.25816E-12                                  0.19883E-06
   20.940             0.16683E-07                                  0.25702E-12                                  0.19866E-06
   20.950             0.16661E-07                                  0.25589E-12                                  0.19849E-06
   20.960             0.16638E-07                                  0.25475E-12                                  0.19832E-06
   20.970             0.16616E-07                                  0.25363E-12                                  0.19815E-06
   20.980             0.16594E-07                                  0.25250E-12                                  0.19798E-06
   20.990             0.16572E-07                                  0.25139E-12                                  0.19781E-06
   21.000             0.16549E-07                                  0.25027E-12                                  0.19764E-06
   21.010             0.16527E-07                                  0.24916E-12                                  0.19747E-06
   21.020             0.16505E-07                                  0.24806E-12                                  0.19731E-06
   21.030             0.16483E-07                                  0.24696E-12                                  0.19714E-06
   21.040             0.16461E-07                                  0.24586E-12                                  0.19697E-06
   21.050             0.16439E-07                                  0.24477E-12                                  0.19680E-06
   21.060             0.16417E-07                                  0.24368E-12                                  0.19663E-06
   21.070             0.16395E-07                                  0.24260E-12                                  0.19646E-06
   21.080             0.16373E-07                                  0.24152E-12                                  0.19630E-06
   21.090             0.16351E-07                                  0.24045E-12                                  0.19613E-06
   21.100             0.16329E-07                                  0.23938E-12                                  0.19596E-06
   21.110             0.16307E-07                                  0.23831E-12                                  0.19580E-06
   21.120             0.16286E-07                                  0.23725E-12                                  0.19563E-06
   21.130             0.16264E-07                                  0.23619E-12                                  0.19546E-06
   21.140             0.16242E-07                                  0.23514E-12                                  0.19530E-06
   21.150             0.16221E-07                                  0.23409E-12                                  0.19513E-06
   21.160             0.16199E-07                                  0.23305E-12                                  0.19496E-06
   21.170             0.16177E-07                                  0.23201E-12                                  0.19480E-06
   21.180             0.16156E-07                                  0.23097E-12                                  0.19463E-06
   21.190             0.16134E-07                                  0.22994E-12                                  0.19447E-06
   21.200             0.16113E-07                                  0.22891E-12                                  0.19430E-06
   21.210             0.16091E-07                                  0.22789E-12                                  0.19414E-06
   21.220             0.16070E-07                                  0.22687E-12                                  0.19397E-06
   21.230             0.16049E-07                                  0.22586E-12                                  0.19381E-06
   21.240             0.16027E-07                                  0.22485E-12                                  0.19365E-06
   21.250             0.16006E-07                                  0.22384E-12                                  0.19348E-06
   21.260             0.15985E-07                                  0.22284E-12                                  0.19332E-06
   21.270             0.15964E-07                                  0.22184E-12                                  0.19316E-06
   21.280             0.15942E-07                                  0.22084E-12                                  0.19299E-06
   21.290             0.15921E-07                                  0.21985E-12                                  0.19283E-06
   21.300             0.15900E-07                                  0.21887E-12                                  0.19267E-06
   21.310             0.15879E-07                                  0.21788E-12                                  0.19250E-06
   21.320             0.15858E-07                                  0.21691E-12                                  0.19234E-06
   21.330             0.15837E-07                                  0.21593E-12                                  0.19218E-06
   21.340             0.15816E-07                                  0.21496E-12                                  0.19202E-06
   21.350             0.15795E-07                                  0.21399E-12                                  0.19186E-06
   21.360             0.15774E-07                                  0.21303E-12                                  0.19169E-06
   21.370             0.15753E-07                                  0.21207E-12                                  0.19153E-06
   21.380             0.15732E-07                                  0.21112E-12                                  0.19137E-06
   21.390             0.15712E-07                                  0.21017E-12                                  0.19121E-06
   21.400             0.15691E-07                                  0.20922E-12                                  0.19105E-06
   21.410             0.15670E-07                                  0.20828E-12                                  0.19089E-06
   21.420             0.15649E-07                                  0.20734E-12                                  0.19073E-06
   21.430             0.15629E-07                                  0.20640E-12                                  0.19057E-06
   21.440             0.15608E-07                                  0.20547E-12                                  0.19041E-06
   21.450             0.15587E-07                                  0.20454E-12                                  0.19025E-06
   21.460             0.15567E-07                                  0.20362E-12                                  0.19009E-06
   21.470             0.15546E-07                                  0.20270E-12                                  0.18993E-06
   21.480             0.15526E-07                                  0.20178E-12                                  0.18977E-06
   21.490             0.15505E-07                                  0.20087E-12                                  0.18961E-06
   21.500             0.15485E-07                                  0.19996E-12                                  0.18945E-06
   21.510             0.15465E-07                                  0.19905E-12                                  0.18930E-06
   21.520             0.15444E-07                                  0.19815E-12                                  0.18914E-06
   21.530             0.15424E-07                                  0.19725E-12                                  0.18898E-06
   21.540             0.15404E-07                                  0.19636E-12                                  0.18882E-06
   21.550             0.15383E-07                                  0.19547E-12                                  0.18866E-06
   21.560             0.15363E-07                                  0.19458E-12                                  0.18851E-06
   21.570             0.15343E-07                                  0.19370E-12                                  0.18835E-06
   21.580             0.15323E-07                                  0.19282E-12                                  0.18819E-06
   21.590             0.15303E-07                                  0.19194E-12                                  0.18804E-06
   21.600             0.15283E-07                                  0.19107E-12                                  0.18788E-06
   21.610             0.15263E-07                                  0.19020E-12                                  0.18772E-06
   21.620             0.15243E-07                                  0.18933E-12                                  0.18757E-06
   21.630             0.15223E-07                                  0.18847E-12                                  0.18741E-06
   21.640             0.15203E-07                                  0.18761E-12                                  0.18725E-06
   21.650             0.15183E-07                                  0.18675E-12                                  0.18710E-06
   21.660             0.15163E-07                                  0.18590E-12                                  0.18694E-06
   21.670             0.15143E-07                                  0.18505E-12                                  0.18679E-06
   21.680             0.15123E-07                                  0.18421E-12                                  0.18663E-06
   21.690             0.15103E-07                                  0.18337E-12                                  0.18648E-06
   21.700             0.15084E-07                                  0.18253E-12                                  0.18632E-06
   21.710             0.15064E-07                                  0.18170E-12                                  0.18617E-06
   21.720             0.15044E-07                                  0.18087E-12                                  0.18601E-06
   21.730             0.15024E-07                                  0.18004E-12                                  0.18586E-06
   21.740             0.15005E-07                                  0.17921E-12                                  0.18571E-06
   21.750             0.14985E-07                                  0.17839E-12                                  0.18555E-06
   21.760             0.14966E-07                                  0.17758E-12                                  0.18540E-06
   21.770             0.14946E-07                                  0.17676E-12                                  0.18525E-06
   21.780             0.14927E-07                                  0.17595E-12                                  0.18509E-06
   21.790             0.14907E-07                                  0.17514E-12                                  0.18494E-06
   21.800             0.14888E-07                                  0.17434E-12                                  0.18479E-06
   21.810             0.14868E-07                                  0.17354E-12                                  0.18463E-06
   21.820             0.14849E-07                                  0.17274E-12                                  0.18448E-06
   21.830             0.14830E-07                                  0.17195E-12                                  0.18433E-06
   21.840             0.14810E-07                                  0.17116E-12                                  0.18418E-06
   21.850             0.14791E-07                                  0.17037E-12                                  0.18403E-06
   21.860             0.14772E-07                                  0.16958E-12                                  0.18387E-06
   21.870             0.14753E-07                                  0.16880E-12                                  0.18372E-06
   21.880             0.14733E-07                                  0.16802E-12                                  0.18357E-06
   21.890             0.14714E-07                                  0.16725E-12                                  0.18342E-06
   21.900             0.14695E-07                                  0.16648E-12                                  0.18327E-06
   21.910             0.14676E-07                                  0.16571E-12                                  0.18312E-06
   21.920             0.14657E-07                                  0.16494E-12                                  0.18297E-06
   21.930             0.14638E-07                                  0.16418E-12                                  0.18282E-06
   21.940             0.14619E-07                                  0.16342E-12                                  0.18267E-06
   21.950             0.14600E-07                                  0.16267E-12                                  0.18252E-06
   21.960             0.14581E-07                                  0.16191E-12                                  0.18237E-06
   21.970             0.14562E-07                                  0.16117E-12                                  0.18222E-06
   21.980             0.14543E-07                                  0.16042E-12                                  0.18207E-06
   21.990             0.14524E-07                                  0.15968E-12                                  0.18192E-06
   22.000             0.14506E-07                                  0.15893E-12                                  0.18177E-06
   22.010             0.14487E-07                                  0.15820E-12                                  0.18162E-06
   22.020             0.14468E-07                                  0.15746E-12                                  0.18147E-06
   22.030             0.14449E-07                                  0.15673E-12                                  0.18132E-06
   22.040             0.14431E-07                                  0.15600E-12                                  0.18118E-06
   22.050             0.14412E-07                                  0.15528E-12                                  0.18103E-06
   22.060             0.14393E-07                                  0.15456E-12                                  0.18088E-06
   22.070             0.14375E-07                                  0.15384E-12                                  0.18073E-06
   22.080             0.14356E-07                                  0.15312E-12                                  0.18059E-06
   22.090             0.14338E-07                                  0.15241E-12                                  0.18044E-06
   22.100             0.14319E-07                                  0.15170E-12                                  0.18029E-06
   22.110             0.14301E-07                                  0.15099E-12                                  0.18014E-06
   22.120             0.14282E-07                                  0.15029E-12                                  0.18000E-06
   22.130             0.14264E-07                                  0.14958E-12                                  0.17985E-06
   22.140             0.14245E-07                                  0.14888E-12                                  0.17970E-06
   22.150             0.14227E-07                                  0.14819E-12                                  0.17956E-06
   22.160             0.14209E-07                                  0.14750E-12                                  0.17941E-06
   22.170             0.14190E-07                                  0.14681E-12                                  0.17927E-06
   22.180             0.14172E-07                                  0.14612E-12                                  0.17912E-06
   22.190             0.14154E-07                                  0.14544E-12                                  0.17897E-06
   22.200             0.14136E-07                                  0.14475E-12                                  0.17883E-06
   22.210             0.14118E-07                                  0.14408E-12                                  0.17868E-06
   22.220             0.14099E-07                                  0.14340E-12                                  0.17854E-06
   22.230             0.14081E-07                                  0.14273E-12                                  0.17839E-06
   22.240             0.14063E-07                                  0.14206E-12                                  0.17825E-06
   22.250             0.14045E-07                                  0.14139E-12                                  0.17811E-06
   22.260             0.14027E-07                                  0.14072E-12                                  0.17796E-06
   22.270             0.14009E-07                                  0.14006E-12                                  0.17782E-06
   22.280             0.13991E-07                                  0.13940E-12                                  0.17767E-06
   22.290             0.13973E-07                                  0.13875E-12                                  0.17753E-06
   22.300             0.13955E-07                                  0.13809E-12                                  0.17739E-06
   22.310             0.13937E-07                                  0.13744E-12                                  0.17724E-06
   22.320             0.13919E-07                                  0.13679E-12                                  0.17710E-06
   22.330             0.13902E-07                                  0.13615E-12                                  0.17696E-06
   22.340             0.13884E-07                                  0.13551E-12                                  0.17681E-06
   22.350             0.13866E-07                                  0.13487E-12                                  0.17667E-06
   22.360             0.13848E-07                                  0.13423E-12                                  0.17653E-06
   22.370             0.13831E-07                                  0.13359E-12                                  0.17639E-06
   22.380             0.13813E-07                                  0.13296E-12                                  0.17624E-06
   22.390             0.13795E-07                                  0.13233E-12                                  0.17610E-06
   22.400             0.13778E-07                                  0.13171E-12                                  0.17596E-06
   22.410             0.13760E-07                                  0.13108E-12                                  0.17582E-06
   22.420             0.13742E-07                                  0.13046E-12                                  0.17568E-06
   22.430             0.13725E-07                                  0.12984E-12                                  0.17554E-06
   22.440             0.13707E-07                                  0.12922E-12                                  0.17539E-06
   22.450             0.13690E-07                                  0.12861E-12                                  0.17525E-06
   22.460             0.13672E-07                                  0.12800E-12                                  0.17511E-06
   22.470             0.13655E-07                                  0.12739E-12                                  0.17497E-06
   22.480             0.13638E-07                                  0.12679E-12                                  0.17483E-06
   22.490             0.13620E-07                                  0.12618E-12                                  0.17469E-06
   22.500             0.13603E-07                                  0.12558E-12                                  0.17455E-06
   22.510             0.13585E-07                                  0.12498E-12                                  0.17441E-06
   22.520             0.13568E-07                                  0.12439E-12                                  0.17427E-06
   22.530             0.13551E-07                                  0.12379E-12                                  0.17413E-06
   22.540             0.13534E-07                                  0.12320E-12                                  0.17399E-06
   22.550             0.13516E-07                                  0.12261E-12                                  0.17385E-06
   22.560             0.13499E-07                                  0.12203E-12                                  0.17371E-06
   22.570             0.13482E-07                                  0.12144E-12                                  0.17358E-06
   22.580             0.13465E-07                                  0.12086E-12                                  0.17344E-06
   22.590             0.13448E-07                                  0.12028E-12                                  0.17330E-06
   22.600             0.13431E-07                                  0.11971E-12                                  0.17316E-06
   22.610             0.13414E-07                                  0.11913E-12                                  0.17302E-06
   22.620             0.13397E-07                                  0.11856E-12                                  0.17288E-06
   22.630             0.13380E-07                                  0.11799E-12                                  0.17275E-06
   22.640             0.13363E-07                                  0.11743E-12                                  0.17261E-06
   22.650             0.13346E-07                                  0.11686E-12                                  0.17247E-06
   22.660             0.13329E-07                                  0.11630E-12                                  0.17233E-06
   22.670             0.13312E-07                                  0.11574E-12                                  0.17220E-06
   22.680             0.13295E-07                                  0.11518E-12                                  0.17206E-06
   22.690             0.13278E-07                                  0.11463E-12                                  0.17192E-06
   22.700             0.13261E-07                                  0.11408E-12                                  0.17178E-06
   22.710             0.13245E-07                                  0.11353E-12                                  0.17165E-06
   22.720             0.13228E-07                                  0.11298E-12                                  0.17151E-06
   22.730             0.13211E-07                                  0.11243E-12                                  0.17138E-06
   22.740             0.13195E-07                                  0.11189E-12                                  0.17124E-06
   22.750             0.13178E-07                                  0.11135E-12                                  0.17110E-06
   22.760             0.13161E-07                                  0.11081E-12                                  0.17097E-06
   22.770             0.13145E-07                                  0.11028E-12                                  0.17083E-06
   22.780             0.13128E-07                                  0.10974E-12                                  0.17070E-06
   22.790             0.13111E-07                                  0.10921E-12                                  0.17056E-06
   22.800             0.13095E-07                                  0.10868E-12                                  0.17043E-06
   22.810             0.13078E-07                                  0.10815E-12                                  0.17029E-06
   22.820             0.13062E-07                                  0.10763E-12                                  0.17016E-06
   22.830             0.13045E-07                                  0.10711E-12                                  0.17002E-06
   22.840             0.13029E-07                                  0.10659E-12                                  0.16989E-06
   22.850             0.13012E-07                                  0.10607E-12                                  0.16975E-06
   22.860             0.12996E-07                                  0.10555E-12                                  0.16962E-06
   22.870             0.12980E-07                                  0.10504E-12                                  0.16949E-06
   22.880             0.12963E-07                                  0.10453E-12                                  0.16935E-06
   22.890             0.12947E-07                                  0.10402E-12                                  0.16922E-06
   22.900             0.12931E-07                                  0.10351E-12                                  0.16908E-06
   22.910             0.12915E-07                                  0.10300E-12                                  0.16895E-06
   22.920             0.12898E-07                                  0.10250E-12                                  0.16882E-06
   22.930             0.12882E-07                                  0.10200E-12                                  0.16869E-06
   22.940             0.12866E-07                                  0.10150E-12                                  0.16855E-06
   22.950             0.12850E-07                                  0.10100E-12                                  0.16842E-06
   22.960             0.12834E-07                                  0.10051E-12                                  0.16829E-06
   22.970             0.12817E-07                                  0.10002E-12                                  0.16815E-06
   22.980             0.12801E-07                                  0.99528E-13                                  0.16802E-06
   22.990             0.12785E-07                                  0.99040E-13                                  0.16789E-06
   23.000             0.12769E-07                                  0.98554E-13                                  0.16776E-06
   23.010             0.12753E-07                                  0.98070E-13                                  0.16763E-06
   23.020             0.12737E-07                                  0.97588E-13                                  0.16750E-06
   23.030             0.12721E-07                                  0.97108E-13                                  0.16736E-06
   23.040             0.12705E-07                                  0.96630E-13                                  0.16723E-06
   23.050             0.12690E-07                                  0.96154E-13                                  0.16710E-06
   23.060             0.12674E-07                                  0.95681E-13                                  0.16697E-06
   23.070             0.12658E-07                                  0.95209E-13                                  0.16684E-06
   23.080             0.12642E-07                                  0.94739E-13                                  0.16671E-06
   23.090             0.12626E-07                                  0.94272E-13                                  0.16658E-06
   23.100             0.12610E-07                                  0.93806E-13                                  0.16645E-06
   23.110             0.12595E-07                                  0.93343E-13                                  0.16632E-06
   23.120             0.12579E-07                                  0.92881E-13                                  0.16619E-06
   23.130             0.12563E-07                                  0.92421E-13                                  0.16606E-06
   23.140             0.12547E-07                                  0.91964E-13                                  0.16593E-06
   23.150             0.12532E-07                                  0.91508E-13                                  0.16580E-06
   23.160             0.12516E-07                                  0.91054E-13                                  0.16567E-06
   23.170             0.12501E-07                                  0.90602E-13                                  0.16554E-06
   23.180             0.12485E-07                                  0.90153E-13                                  0.16541E-06
   23.190             0.12469E-07                                  0.89705E-13                                  0.16528E-06
   23.200             0.12454E-07                                  0.89259E-13                                  0.16515E-06
   23.210             0.12438E-07                                  0.88815E-13                                  0.16502E-06
   23.220             0.12423E-07                                  0.88373E-13                                  0.16490E-06
   23.230             0.12407E-07                                  0.87933E-13                                  0.16477E-06
   23.240             0.12392E-07                                  0.87494E-13                                  0.16464E-06
   23.250             0.12377E-07                                  0.87058E-13                                  0.16451E-06
   23.260             0.12361E-07                                  0.86623E-13                                  0.16438E-06
   23.270             0.12346E-07                                  0.86191E-13                                  0.16426E-06
   23.280             0.12330E-07                                  0.85760E-13                                  0.16413E-06
   23.290             0.12315E-07                                  0.85331E-13                                  0.16400E-06
   23.300             0.12300E-07                                  0.84904E-13                                  0.16387E-06
   23.310             0.12284E-07                                  0.84479E-13                                  0.16375E-06
   23.320             0.12269E-07                                  0.84055E-13                                  0.16362E-06
   23.330             0.12254E-07                                  0.83634E-13                                  0.16349E-06
   23.340             0.12239E-07                                  0.83214E-13                                  0.16337E-06
   23.350             0.12224E-07                                  0.82796E-13                                  0.16324E-06
   23.360             0.12208E-07                                  0.82380E-13                                  0.16311E-06
   23.370             0.12193E-07                                  0.81966E-13                                  0.16299E-06
   23.380             0.12178E-07                                  0.81554E-13                                  0.16286E-06
   23.390             0.12163E-07                                  0.81143E-13                                  0.16273E-06
   23.400             0.12148E-07                                  0.80734E-13                                  0.16261E-06
   23.410             0.12133E-07                                  0.80327E-13                                  0.16248E-06
   23.420             0.12118E-07                                  0.79922E-13                                  0.16236E-06
   23.430             0.12103E-07                                  0.79518E-13                                  0.16223E-06
   23.440             0.12088E-07                                  0.79117E-13                                  0.16211E-06
   23.450             0.12073E-07                                  0.78717E-13                                  0.16198E-06
   23.460             0.12058E-07                                  0.78318E-13                                  0.16186E-06
   23.470             0.12043E-07                                  0.77922E-13                                  0.16173E-06
   23.480             0.12028E-07                                  0.77527E-13                                  0.16161E-06
   23.490             0.12013E-07                                  0.77134E-13                                  0.16148E-06
   23.500             0.11999E-07                                  0.76743E-13                                  0.16136E-06
   23.510             0.11984E-07                                  0.76353E-13                                  0.16123E-06
