Height (m)  50th percentile particle concentration (-)  84th percentile particle concentration (-)  16th percentile particle concentration (-)
    1.180             0.17386E-04                                  0.85266E-07                                  0.28630E-04
    1.190             0.17055E-04                                  0.82854E-07                                  0.28221E-04
    1.200             0.16733E-04                                  0.80529E-07                                  0.27822E-04
    1.210             0.16420E-04                                  0.78286E-07                                  0.27432E-04
    1.220             0.16115E-04                                  0.76123E-07                                  0.27051E-04
    1.230             0.15819E-04                                  0.74037E-07                                  0.26678E-04
    1.240             0.15530E-04                                  0.72022E-07                                  0.26313E-04
    1.250             0.15248E-04                                  0.70078E-07                                  0.25955E-04
    1.260             0.14974E-04                                  0.68200E-07                                  0.25606E-04
    1.270             0.14707E-04                                  0.66387E-07                                  0.25264E-04
    1.280             0.14446E-04                                  0.64634E-07                                  0.24929E-04
    1.290             0.14193E-04                                  0.62941E-07                                  0.24601E-04
    1.300             0.13945E-04                                  0.61304E-07                                  0.24279E-04
    1.310             0.13704E-04                                  0.59721E-07                                  0.23965E-04
    1.320             0.13468E-04                                  0.58190E-07                                  0.23657E-04
    1.330             0.13239E-04                                  0.56709E-07                                  0.23355E-04
    1.340             0.13015E-04                                  0.55276E-07                                  0.23059E-04
    1.350             0.12796E-04                                  0.53889E-07                                  0.22769E-04
    1.360             0.12582E-04                                  0.52546E-07                                  0.22485E-04
    1.370             0.12374E-04                                  0.51245E-07                                  0.22206E-04
    1.380             0.12171E-04                                  0.49986E-07                                  0.21933E-04
    1.390             0.11972E-04                                  0.48766E-07                                  0.21665E-04
    1.400             0.11778E-04                                  0.47583E-07                                  0.21402E-04
    1.410             0.11588E-04                                  0.46437E-07                                  0.21144E-04
    1.420             0.11403E-04                                  0.45327E-07                                  0.20891E-04
    1.430             0.11222E-04                                  0.44249E-07                                  0.20643E-04
    1.440             0.11045E-04                                  0.43205E-07                                  0.20400E-04
    1.450             0.10872E-04                                  0.42192E-07                                  0.20161E-04
    1.460             0.10703E-04                                  0.41208E-07                                  0.19926E-04
    1.470             0.10537E-04                                  0.40254E-07                                  0.19696E-04
    1.480             0.10375E-04                                  0.39328E-07                                  0.19470E-04
    1.490             0.10217E-04                                  0.38429E-07                                  0.19248E-04
    1.500             0.10062E-04                                  0.37557E-07                                  0.19030E-04
    1.510             0.99110E-05                                  0.36709E-07                                  0.18816E-04
    1.520             0.97627E-05                                  0.35885E-07                                  0.18605E-04
    1.530             0.96177E-05                                  0.35085E-07                                  0.18399E-04
    1.540             0.94757E-05                                  0.34308E-07                                  0.18196E-04
