Height (m)  50th percentile velocity (m/s)  84th percentile velocity (m/s)  16th percentile velocity (m/s)
   11.390             27.637                           42.310                           16.586
   11.400             27.639                           42.314                           16.587
   11.410             27.642                           42.317                           16.588
   11.420             27.644                           42.321                           16.590
   11.430             27.646                           42.324                           16.591
   11.440             27.649                           42.328                           16.592
   11.450             27.651                           42.331                           16.594
   11.460             27.653                           42.335                           16.595
   11.470             27.655                           42.338                           16.597
   11.480             27.658                           42.342                           16.598
   11.490             27.660                           42.345                           16.599
   11.500             27.662                           42.349                           16.601
   11.510             27.665                           42.352                           16.602
   11.520             27.667                           42.356                           16.603
   11.530             27.669                           42.359                           16.605
   11.540             27.671                           42.363                           16.606
   11.550             27.674                           42.366                           16.608
   11.560             27.676                           42.370                           16.609
   11.570             27.678                           42.373                           16.610
   11.580             27.681                           42.377                           16.612
   11.590             27.683                           42.380                           16.613
   11.600             27.685                           42.383                           16.614
   11.610             27.687                           42.387                           16.616
   11.620             27.690                           42.390                           16.617
   11.630             27.692                           42.394                           16.618
   11.640             27.694                           42.397                           16.620
   11.650             27.696                           42.401                           16.621
   11.660             27.699                           42.404                           16.622
   11.670             27.701                           42.408                           16.624
   11.680             27.703                           42.411                           16.625
   11.690             27.705                           42.415                           16.627
   11.700             27.708                           42.418                           16.628
   11.710             27.710                           42.421                           16.629
   11.720             27.712                           42.425                           16.631
   11.730             27.714                           42.428                           16.632
   11.740             27.717                           42.432                           16.633
   11.750             27.719                           42.435                           16.635
   11.760             27.721                           42.439                           16.636
   11.770             27.723                           42.442                           16.637
   11.780             27.725                           42.445                           16.639
   11.790             27.728                           42.449                           16.640
   11.800             27.730                           42.452                           16.641
   11.810             27.732                           42.456                           16.643
   11.820             27.734                           42.459                           16.644
   11.830             27.737                           42.462                           16.645
   11.840             27.739                           42.466                           16.647
   11.850             27.741                           42.469                           16.648
   11.860             27.743                           42.473                           16.649
   11.870             27.745                           42.476                           16.651
   11.880             27.748                           42.479                           16.652
   11.890             27.750                           42.483                           16.653
   11.900             27.752                           42.486                           16.655
   11.910             27.754                           42.490                           16.656
   11.920             27.757                           42.493                           16.657
   11.930             27.759                           42.496                           16.659
   11.940             27.761                           42.500                           16.660
   11.950             27.763                           42.503                           16.661
   11.960             27.765                           42.506                           16.663
   11.970             27.768                           42.510                           16.664
   11.980             27.770                           42.513                           16.665
   11.990             27.772                           42.516                           16.666
   12.000             27.774                           42.520                           16.668
   12.010             27.776                           42.523                           16.669
   12.020             27.778                           42.526                           16.670
   12.030             27.781                           42.530                           16.672
   12.040             27.783                           42.533                           16.673
   12.050             27.785                           42.537                           16.674
   12.060             27.787                           42.540                           16.676
   12.070             27.789                           42.543                           16.677
   12.080             27.792                           42.547                           16.678
   12.090             27.794                           42.550                           16.680
   12.100             27.796                           42.553                           16.681
   12.110             27.798                           42.556                           16.682
   12.120             27.800                           42.560                           16.683
   12.130             27.802                           42.563                           16.685
   12.140             27.805                           42.566                           16.686
   12.150             27.807                           42.570                           16.687
   12.160             27.809                           42.573                           16.689
   12.170             27.811                           42.576                           16.690
   12.180             27.813                           42.580                           16.691
   12.190             27.815                           42.583                           16.693
   12.200             27.818                           42.586                           16.694
   12.210             27.820                           42.590                           16.695
   12.220             27.822                           42.593                           16.696
   12.230             27.824                           42.596                           16.698
   12.240             27.826                           42.599                           16.699
   12.250             27.828                           42.603                           16.700
   12.260             27.830                           42.606                           16.702
   12.270             27.833                           42.609                           16.703
   12.280             27.835                           42.613                           16.704
   12.290             27.837                           42.616                           16.705
   12.300             27.839                           42.619                           16.707
   12.310             27.841                           42.622                           16.708
   12.320             27.843                           42.626                           16.709
   12.330             27.845                           42.629                           16.711
   12.340             27.847                           42.632                           16.712
   12.350             27.850                           42.635                           16.713
   12.360             27.852                           42.639                           16.714
   12.370             27.854                           42.642                           16.716
   12.380             27.856                           42.645                           16.717
   12.390             27.858                           42.648                           16.718
   12.400             27.860                           42.652                           16.719
   12.410             27.862                           42.655                           16.721
   12.420             27.864                           42.658                           16.722
   12.430             27.867                           42.661                           16.723
   12.440             27.869                           42.665                           16.725
   12.450             27.871                           42.668                           16.726
   12.460             27.873                           42.671                           16.727
   12.470             27.875                           42.674                           16.728
   12.480             27.877                           42.677                           16.730
   12.490             27.879                           42.681                           16.731
   12.500             27.881                           42.684                           16.732
   12.510             27.883                           42.687                           16.733
   12.520             27.886                           42.690                           16.735
   12.530             27.888                           42.694                           16.736
   12.540             27.890                           42.697                           16.737
   12.550             27.892                           42.700                           16.738
   12.560             27.894                           42.703                           16.740
   12.570             27.896                           42.706                           16.741
   12.580             27.898                           42.710                           16.742
   12.590             27.900                           42.713                           16.743
   12.600             27.902                           42.716                           16.745
   12.610             27.904                           42.719                           16.746
   12.620             27.906                           42.722                           16.747
   12.630             27.908                           42.726                           16.748
   12.640             27.911                           42.729                           16.750
   12.650             27.913                           42.732                           16.751
   12.660             27.915                           42.735                           16.752
   12.670             27.917                           42.738                           16.753
   12.680             27.919                           42.741                           16.755
   12.690             27.921                           42.745                           16.756
   12.700             27.923                           42.748                           16.757
   12.710             27.925                           42.751                           16.758
   12.720             27.927                           42.754                           16.760
   12.730             27.929                           42.757                           16.761
   12.740             27.931                           42.760                           16.762
   12.750             27.933                           42.764                           16.763
   12.760             27.935                           42.767                           16.765
   12.770             27.937                           42.770                           16.766
   12.780             27.939                           42.773                           16.767
   12.790             27.942                           42.776                           16.768
   12.800             27.944                           42.779                           16.770
   12.810             27.946                           42.782                           16.771
   12.820             27.948                           42.786                           16.772
   12.830             27.950                           42.789                           16.773
   12.840             27.952                           42.792                           16.774
   12.850             27.954                           42.795                           16.776
   12.860             27.956                           42.798                           16.777
   12.870             27.958                           42.801                           16.778
   12.880             27.960                           42.804                           16.779
   12.890             27.962                           42.807                           16.781
   12.900             27.964                           42.811                           16.782
   12.910             27.966                           42.814                           16.783
   12.920             27.968                           42.817                           16.784
   12.930             27.970                           42.820                           16.785
   12.940             27.972                           42.823                           16.787
   12.950             27.974                           42.826                           16.788
   12.960             27.976                           42.829                           16.789
   12.970             27.978                           42.832                           16.790
   12.980             27.980                           42.835                           16.792
   12.990             27.982                           42.839                           16.793
   13.000             27.984                           42.842                           16.794
   13.010             27.986                           42.845                           16.795
   13.020             27.988                           42.848                           16.796
   13.030             27.990                           42.851                           16.798
   13.040             27.992                           42.854                           16.799
   13.050             27.994                           42.857                           16.800
   13.060             27.996                           42.860                           16.801
   13.070             27.998                           42.863                           16.802
   13.080             28.000                           42.866                           16.804
   13.090             28.002                           42.869                           16.805
   13.100             28.004                           42.872                           16.806
   13.110             28.006                           42.876                           16.807
   13.120             28.008                           42.879                           16.808
   13.130             28.010                           42.882                           16.810
   13.140             28.012                           42.885                           16.811
   13.150             28.014                           42.888                           16.812
   13.160             28.016                           42.891                           16.813
   13.170             28.018                           42.894                           16.814
   13.180             28.020                           42.897                           16.816
   13.190             28.022                           42.900                           16.817
   13.200             28.024                           42.903                           16.818
   13.210             28.026                           42.906                           16.819
   13.220             28.028                           42.909                           16.820
   13.230             28.030                           42.912                           16.822
   13.240             28.032                           42.915                           16.823
   13.250             28.034                           42.918                           16.824
   13.260             28.036                           42.921                           16.825
   13.270             28.038                           42.924                           16.826
   13.280             28.040                           42.927                           16.828
   13.290             28.042                           42.930                           16.829
   13.300             28.044                           42.933                           16.830
   13.310             28.046                           42.936                           16.831
   13.320             28.048                           42.939                           16.832
   13.330             28.050                           42.942                           16.833
   13.340             28.052                           42.945                           16.835
   13.350             28.054                           42.948                           16.836
   13.360             28.056                           42.951                           16.837
   13.370             28.058                           42.954                           16.838
   13.380             28.060                           42.957                           16.839
   13.390             28.062                           42.960                           16.841
   13.400             28.064                           42.963                           16.842
   13.410             28.066                           42.966                           16.843
   13.420             28.068                           42.969                           16.844
   13.430             28.070                           42.972                           16.845
   13.440             28.072                           42.975                           16.846
   13.450             28.074                           42.978                           16.848
   13.460             28.076                           42.981                           16.849
   13.470             28.078                           42.984                           16.850
   13.480             28.080                           42.987                           16.851
   13.490             28.081                           42.990                           16.852
   13.500             28.083                           42.993                           16.853
   13.510             28.085                           42.996                           16.855
   13.520             28.087                           42.999                           16.856
   13.530             28.089                           43.002                           16.857
   13.540             28.091                           43.005                           16.858
   13.550             28.093                           43.008                           16.859
   13.560             28.095                           43.011                           16.860
   13.570             28.097                           43.014                           16.862
   13.580             28.099                           43.017                           16.863
   13.590             28.101                           43.020                           16.864
   13.600             28.103                           43.023                           16.865
   13.610             28.105                           43.026                           16.866
   13.620             28.107                           43.029                           16.867
   13.630             28.109                           43.032                           16.869
   13.640             28.111                           43.035                           16.870
   13.650             28.112                           43.038                           16.871
   13.660             28.114                           43.041                           16.872
   13.670             28.116                           43.044                           16.873
   13.680             28.118                           43.047                           16.874
   13.690             28.120                           43.050                           16.875
   13.700             28.122                           43.052                           16.877
   13.710             28.124                           43.055                           16.878
   13.720             28.126                           43.058                           16.879
   13.730             28.128                           43.061                           16.880
   13.740             28.130                           43.064                           16.881
   13.750             28.132                           43.067                           16.882
   13.760             28.134                           43.070                           16.883
   13.770             28.135                           43.073                           16.885
   13.780             28.137                           43.076                           16.886
   13.790             28.139                           43.079                           16.887
   13.800             28.141                           43.082                           16.888
   13.810             28.143                           43.085                           16.889
   13.820             28.145                           43.088                           16.890
   13.830             28.147                           43.090                           16.891
   13.840             28.149                           43.093                           16.893
   13.850             28.151                           43.096                           16.894
   13.860             28.153                           43.099                           16.895
   13.870             28.154                           43.102                           16.896
   13.880             28.156                           43.105                           16.897
   13.890             28.158                           43.108                           16.898
   13.900             28.160                           43.111                           16.899
   13.910             28.162                           43.114                           16.901
   13.920             28.164                           43.117                           16.902
   13.930             28.166                           43.119                           16.903
   13.940             28.168                           43.122                           16.904
   13.950             28.170                           43.125                           16.905
   13.960             28.171                           43.128                           16.906
   13.970             28.173                           43.131                           16.907
   13.980             28.175                           43.134                           16.908
   13.990             28.177                           43.137                           16.910
   14.000             28.179                           43.140                           16.911
   14.010             28.181                           43.142                           16.912
   14.020             28.183                           43.145                           16.913
   14.030             28.185                           43.148                           16.914
   14.040             28.186                           43.151                           16.915
   14.050             28.188                           43.154                           16.916
   14.060             28.190                           43.157                           16.917
   14.070             28.192                           43.160                           16.919
   14.080             28.194                           43.163                           16.920
   14.090             28.196                           43.165                           16.921
   14.100             28.198                           43.168                           16.922
   14.110             28.200                           43.171                           16.923
   14.120             28.201                           43.174                           16.924
   14.130             28.203                           43.177                           16.925
   14.140             28.205                           43.180                           16.926
   14.150             28.207                           43.182                           16.928
   14.160             28.209                           43.185                           16.929
   14.170             28.211                           43.188                           16.930
   14.180             28.213                           43.191                           16.931
   14.190             28.214                           43.194                           16.932
   14.200             28.216                           43.197                           16.933
   14.210             28.218                           43.199                           16.934
   14.220             28.220                           43.202                           16.935
   14.230             28.222                           43.205                           16.936
   14.240             28.224                           43.208                           16.938
   14.250             28.225                           43.211                           16.939
   14.260             28.227                           43.214                           16.940
   14.270             28.229                           43.216                           16.941
   14.280             28.231                           43.219                           16.942
   14.290             28.233                           43.222                           16.943
   14.300             28.235                           43.225                           16.944
   14.310             28.236                           43.228                           16.945
   14.320             28.238                           43.230                           16.946
   14.330             28.240                           43.233                           16.947
   14.340             28.242                           43.236                           16.949
   14.350             28.244                           43.239                           16.950
   14.360             28.246                           43.242                           16.951
   14.370             28.247                           43.244                           16.952
   14.380             28.249                           43.247                           16.953
   14.390             28.251                           43.250                           16.954
   14.400             28.253                           43.253                           16.955
   14.410             28.255                           43.256                           16.956
   14.420             28.257                           43.258                           16.957
   14.430             28.258                           43.261                           16.958
   14.440             28.260                           43.264                           16.960
   14.450             28.262                           43.267                           16.961
   14.460             28.264                           43.270                           16.962
   14.470             28.266                           43.272                           16.963
   14.480             28.267                           43.275                           16.964
   14.490             28.269                           43.278                           16.965
   14.500             28.271                           43.281                           16.966
   14.510             28.273                           43.283                           16.967
   14.520             28.275                           43.286                           16.968
   14.530             28.277                           43.289                           16.969
   14.540             28.278                           43.292                           16.970
   14.550             28.280                           43.295                           16.971
   14.560             28.282                           43.297                           16.973
   14.570             28.284                           43.300                           16.974
   14.580             28.286                           43.303                           16.975
   14.590             28.287                           43.306                           16.976
   14.600             28.289                           43.308                           16.977
   14.610             28.291                           43.311                           16.978
   14.620             28.293                           43.314                           16.979
   14.630             28.295                           43.317                           16.980
   14.640             28.296                           43.319                           16.981
   14.650             28.298                           43.322                           16.982
   14.660             28.300                           43.325                           16.983
   14.670             28.302                           43.328                           16.984
   14.680             28.304                           43.330                           16.986
   14.690             28.305                           43.333                           16.987
   14.700             28.307                           43.336                           16.988
   14.710             28.309                           43.339                           16.989
   14.720             28.311                           43.341                           16.990
   14.730             28.312                           43.344                           16.991
   14.740             28.314                           43.347                           16.992
   14.750             28.316                           43.349                           16.993
   14.760             28.318                           43.352                           16.994
   14.770             28.320                           43.355                           16.995
   14.780             28.321                           43.358                           16.996
   14.790             28.323                           43.360                           16.997
   14.800             28.325                           43.363                           16.998
   14.810             28.327                           43.366                           16.999
   14.820             28.328                           43.368                           17.000
   14.830             28.330                           43.371                           17.002
   14.840             28.332                           43.374                           17.003
   14.850             28.334                           43.377                           17.004
   14.860             28.336                           43.379                           17.005
   14.870             28.337                           43.382                           17.006
   14.880             28.339                           43.385                           17.007
   14.890             28.341                           43.387                           17.008
   14.900             28.343                           43.390                           17.009
   14.910             28.344                           43.393                           17.010
   14.920             28.346                           43.395                           17.011
   14.930             28.348                           43.398                           17.012
   14.940             28.350                           43.401                           17.013
   14.950             28.351                           43.404                           17.014
   14.960             28.353                           43.406                           17.015
   14.970             28.355                           43.409                           17.016
   14.980             28.357                           43.412                           17.017
   14.990             28.358                           43.414                           17.018
   15.000             28.360                           43.417                           17.019
   15.010             28.362                           43.420                           17.021
   15.020             28.364                           43.422                           17.022
   15.030             28.365                           43.425                           17.023
   15.040             28.367                           43.428                           17.024
   15.050             28.369                           43.430                           17.025
   15.060             28.371                           43.433                           17.026
   15.070             28.372                           43.436                           17.027
   15.080             28.374                           43.438                           17.028
   15.090             28.376                           43.441                           17.029
   15.100             28.378                           43.444                           17.030
   15.110             28.379                           43.446                           17.031
   15.120             28.381                           43.449                           17.032
   15.130             28.383                           43.452                           17.033
   15.140             28.385                           43.454                           17.034
   15.150             28.386                           43.457                           17.035
   15.160             28.388                           43.460                           17.036
   15.170             28.390                           43.462                           17.037
   15.180             28.391                           43.465                           17.038
   15.190             28.393                           43.468                           17.039
   15.200             28.395                           43.470                           17.040
   15.210             28.397                           43.473                           17.041
   15.220             28.398                           43.476                           17.042
   15.230             28.400                           43.478                           17.043
   15.240             28.402                           43.481                           17.045
   15.250             28.404                           43.483                           17.046
   15.260             28.405                           43.486                           17.047
   15.270             28.407                           43.489                           17.048
   15.280             28.409                           43.491                           17.049
   15.290             28.410                           43.494                           17.050
   15.300             28.412                           43.497                           17.051
   15.310             28.414                           43.499                           17.052
   15.320             28.416                           43.502                           17.053
   15.330             28.417                           43.504                           17.054
   15.340             28.419                           43.507                           17.055
   15.350             28.421                           43.510                           17.056
   15.360             28.422                           43.512                           17.057
   15.370             28.424                           43.515                           17.058
   15.380             28.426                           43.518                           17.059
   15.390             28.428                           43.520                           17.060
   15.400             28.429                           43.523                           17.061
   15.410             28.431                           43.525                           17.062
   15.420             28.433                           43.528                           17.063
   15.430             28.434                           43.531                           17.064
   15.440             28.436                           43.533                           17.065
   15.450             28.438                           43.536                           17.066
   15.460             28.439                           43.538                           17.067
   15.470             28.441                           43.541                           17.068
   15.480             28.443                           43.544                           17.069
   15.490             28.445                           43.546                           17.070
   15.500             28.446                           43.549                           17.071
   15.510             28.448                           43.551                           17.072
   15.520             28.450                           43.554                           17.073
   15.530             28.451                           43.557                           17.074
   15.540             28.453                           43.559                           17.075
   15.550             28.455                           43.562                           17.076
   15.560             28.456                           43.564                           17.077
   15.570             28.458                           43.567                           17.078
   15.580             28.460                           43.570                           17.079
   15.590             28.461                           43.572                           17.080
   15.600             28.463                           43.575                           17.081
   15.610             28.465                           43.577                           17.082
   15.620             28.467                           43.580                           17.083
   15.630             28.468                           43.582                           17.084
   15.640             28.470                           43.585                           17.085
   15.650             28.472                           43.588                           17.086
   15.660             28.473                           43.590                           17.087
   15.670             28.475                           43.593                           17.088
   15.680             28.477                           43.595                           17.089
   15.690             28.478                           43.598                           17.090
   15.700             28.480                           43.600                           17.091
   15.710             28.482                           43.603                           17.092
   15.720             28.483                           43.606                           17.093
   15.730             28.485                           43.608                           17.094
   15.740             28.487                           43.611                           17.095
   15.750             28.488                           43.613                           17.096
   15.760             28.490                           43.616                           17.097
   15.770             28.492                           43.618                           17.098
   15.780             28.493                           43.621                           17.099
   15.790             28.495                           43.623                           17.100
   15.800             28.497                           43.626                           17.101
   15.810             28.498                           43.628                           17.102
   15.820             28.500                           43.631                           17.103
   15.830             28.502                           43.634                           17.104
   15.840             28.503                           43.636                           17.105
   15.850             28.505                           43.639                           17.106
   15.860             28.507                           43.641                           17.107
   15.870             28.508                           43.644                           17.108
   15.880             28.510                           43.646                           17.109
   15.890             28.512                           43.649                           17.110
   15.900             28.513                           43.651                           17.111
   15.910             28.515                           43.654                           17.112
   15.920             28.516                           43.656                           17.113
   15.930             28.518                           43.659                           17.114
   15.940             28.520                           43.661                           17.115
   15.950             28.521                           43.664                           17.116
   15.960             28.523                           43.666                           17.117
   15.970             28.525                           43.669                           17.118
   15.980             28.526                           43.671                           17.119
   15.990             28.528                           43.674                           17.120
   16.000             28.530                           43.676                           17.121
   16.010             28.531                           43.679                           17.122
   16.020             28.533                           43.682                           17.123
   16.030             28.535                           43.684                           17.124
   16.040             28.536                           43.687                           17.125
   16.050             28.538                           43.689                           17.126
   16.060             28.539                           43.692                           17.127
   16.070             28.541                           43.694                           17.128
   16.080             28.543                           43.697                           17.129
   16.090             28.544                           43.699                           17.130
   16.100             28.546                           43.702                           17.131
   16.110             28.548                           43.704                           17.132
   16.120             28.549                           43.707                           17.133
