Height (m)  50th percentile velocity (m/s)  84th percentile velocity (m/s)  16th percentile velocity (m/s)
    1.880             22.906                           35.067                           13.746
    1.890             22.920                           35.088                           13.755
    1.900             22.934                           35.109                           13.763
    1.910             22.947                           35.130                           13.771
    1.920             22.961                           35.151                           13.779
    1.930             22.975                           35.172                           13.788
    1.940             22.988                           35.193                           13.796
    1.950             23.002                           35.214                           13.804
    1.960             23.015                           35.234                           13.812
    1.970             23.029                           35.255                           13.820
    1.980             23.042                           35.275                           13.828
    1.990             23.055                           35.295                           13.836
    2.000             23.068                           35.316                           13.844
    2.010             23.081                           35.336                           13.852
    2.020             23.094                           35.356                           13.859
    2.030             23.107                           35.375                           13.867
    2.040             23.120                           35.395                           13.875
    2.050             23.133                           35.415                           13.883
    2.060             23.146                           35.434                           13.890
    2.070             23.159                           35.454                           13.898
    2.080             23.171                           35.473                           13.906
    2.090             23.184                           35.493                           13.913
    2.100             23.196                           35.512                           13.921
    2.110             23.209                           35.531                           13.928
    2.120             23.221                           35.550                           13.936
    2.130             23.234                           35.569                           13.943
    2.140             23.246                           35.588                           13.950
    2.150             23.258                           35.606                           13.958
    2.160             23.270                           35.625                           13.965
    2.170             23.283                           35.644                           13.972
    2.180             23.295                           35.662                           13.980
    2.190             23.307                           35.680                           13.987
    2.200             23.319                           35.699                           13.994
    2.210             23.330                           35.717                           14.001
    2.220             23.342                           35.735                           14.008
    2.230             23.354                           35.753                           14.015
    2.240             23.366                           35.771                           14.022
    2.250             23.378                           35.789                           14.029
    2.260             23.389                           35.807                           14.036
    2.270             23.401                           35.825                           14.043
    2.280             23.412                           35.842                           14.050
    2.290             23.424                           35.860                           14.057
    2.300             23.435                           35.878                           14.064
    2.310             23.447                           35.895                           14.071
    2.320             23.458                           35.912                           14.078
    2.330             23.469                           35.930                           14.084
    2.340             23.481                           35.947                           14.091
    2.350             23.492                           35.964                           14.098
    2.360             23.503                           35.981                           14.105
    2.370             23.514                           35.998                           14.111
    2.380             23.525                           36.015                           14.118
    2.390             23.536                           36.032                           14.125
    2.400             23.547                           36.049                           14.131
    2.410             23.558                           36.065                           14.138
    2.420             23.569                           36.082                           14.144
    2.430             23.580                           36.099                           14.151
    2.440             23.591                           36.115                           14.157
    2.450             23.601                           36.132                           14.164
    2.460             23.612                           36.148                           14.170
    2.470             23.623                           36.164                           14.176
    2.480             23.633                           36.180                           14.183
    2.490             23.644                           36.197                           14.189
    2.500             23.654                           36.213                           14.195
    2.510             23.665                           36.229                           14.202
    2.520             23.675                           36.245                           14.208
    2.530             23.686                           36.261                           14.214
    2.540             23.696                           36.277                           14.220
    2.550             23.706                           36.292                           14.227
    2.560             23.717                           36.308                           14.233
    2.570             23.727                           36.324                           14.239
    2.580             23.737                           36.339                           14.245
    2.590             23.747                           36.355                           14.251
    2.600             23.757                           36.370                           14.257
    2.610             23.767                           36.386                           14.263
    2.620             23.777                           36.401                           14.269
    2.630             23.787                           36.417                           14.275
    2.640             23.797                           36.432                           14.281
    2.650             23.807                           36.447                           14.287
    2.660             23.817                           36.462                           14.293
    2.670             23.827                           36.477                           14.299
    2.680             23.837                           36.492                           14.305
    2.690             23.847                           36.507                           14.311
    2.700             23.856                           36.522                           14.317
    2.710             23.866                           36.537                           14.323
    2.720             23.876                           36.552                           14.328
    2.730             23.885                           36.567                           14.334
    2.740             23.895                           36.581                           14.340
    2.750             23.905                           36.596                           14.346
    2.760             23.914                           36.611                           14.351
    2.770             23.924                           36.625                           14.357
    2.780             23.933                           36.640                           14.363
    2.790             23.943                           36.654                           14.368
    2.800             23.952                           36.668                           14.374
    2.810             23.961                           36.683                           14.380
    2.820             23.971                           36.697                           14.385
    2.830             23.980                           36.711                           14.391
    2.840             23.989                           36.725                           14.396
    2.850             23.998                           36.740                           14.402
    2.860             24.008                           36.754                           14.407
    2.870             24.017                           36.768                           14.413
    2.880             24.026                           36.782                           14.418
    2.890             24.035                           36.796                           14.424
    2.900             24.044                           36.810                           14.429
    2.910             24.053                           36.823                           14.435
    2.920             24.062                           36.837                           14.440
    2.930             24.071                           36.851                           14.446
    2.940             24.080                           36.865                           14.451
    2.950             24.089                           36.878                           14.456
    2.960             24.098                           36.892                           14.462
    2.970             24.107                           36.905                           14.467
    2.980             24.116                           36.919                           14.472
    2.990             24.124                           36.932                           14.478
    3.000             24.133                           36.946                           14.483
    3.010             24.142                           36.959                           14.488
    3.020             24.151                           36.973                           14.493
    3.030             24.159                           36.986                           14.498
    3.040             24.168                           36.999                           14.504
    3.050             24.177                           37.012                           14.509
    3.060             24.185                           37.025                           14.514
    3.070             24.194                           37.039                           14.519
    3.080             24.202                           37.052                           14.524
    3.090             24.211                           37.065                           14.529
    3.100             24.219                           37.078                           14.534
    3.110             24.228                           37.091                           14.540
    3.120             24.236                           37.104                           14.545
    3.130             24.245                           37.116                           14.550
    3.140             24.253                           37.129                           14.555
    3.150             24.261                           37.142                           14.560
    3.160             24.270                           37.155                           14.565
    3.170             24.278                           37.167                           14.570
    3.180             24.286                           37.180                           14.575
    3.190             24.294                           37.193                           14.580
    3.200             24.303                           37.205                           14.585
    3.210             24.311                           37.218                           14.589
    3.220             24.319                           37.230                           14.594
    3.230             24.327                           37.243                           14.599
    3.240             24.335                           37.255                           14.604
    3.250             24.343                           37.268                           14.609
    3.260             24.351                           37.280                           14.614
    3.270             24.360                           37.292                           14.619
    3.280             24.368                           37.305                           14.623
    3.290             24.376                           37.317                           14.628
    3.300             24.383                           37.329                           14.633
    3.310             24.391                           37.341                           14.638
    3.320             24.399                           37.353                           14.643
    3.330             24.407                           37.365                           14.647
    3.340             24.415                           37.378                           14.652
    3.350             24.423                           37.390                           14.657
    3.360             24.431                           37.402                           14.661
    3.370             24.439                           37.413                           14.666
    3.380             24.446                           37.425                           14.671
    3.390             24.454                           37.437                           14.675
    3.400             24.462                           37.449                           14.680
    3.410             24.470                           37.461                           14.685
    3.420             24.477                           37.473                           14.689
    3.430             24.485                           37.484                           14.694
    3.440             24.493                           37.496                           14.699
    3.450             24.500                           37.508                           14.703
    3.460             24.508                           37.519                           14.708
    3.470             24.515                           37.531                           14.712
    3.480             24.523                           37.543                           14.717
    3.490             24.531                           37.554                           14.721
    3.500             24.538                           37.566                           14.726
    3.510             24.546                           37.577                           14.730
    3.520             24.553                           37.589                           14.735
    3.530             24.560                           37.600                           14.739
    3.540             24.568                           37.611                           14.744
    3.550             24.575                           37.623                           14.748
    3.560             24.583                           37.634                           14.753
    3.570             24.590                           37.645                           14.757
    3.580             24.597                           37.657                           14.761
    3.590             24.605                           37.668                           14.766
    3.600             24.612                           37.679                           14.770
    3.610             24.619                           37.690                           14.775
    3.620             24.627                           37.701                           14.779
    3.630             24.634                           37.712                           14.783
    3.640             24.641                           37.723                           14.788
    3.650             24.648                           37.734                           14.792
    3.660             24.655                           37.745                           14.796
    3.670             24.663                           37.756                           14.801
    3.680             24.670                           37.767                           14.805
    3.690             24.677                           37.778                           14.809
    3.700             24.684                           37.789                           14.813
    3.710             24.691                           37.800                           14.818
    3.720             24.698                           37.811                           14.822
    3.730             24.705                           37.822                           14.826
    3.740             24.712                           37.832                           14.830
    3.750             24.719                           37.843                           14.834
    3.760             24.726                           37.854                           14.839
    3.770             24.733                           37.864                           14.843
    3.780             24.740                           37.875                           14.847
    3.790             24.747                           37.886                           14.851
    3.800             24.754                           37.896                           14.855
    3.810             24.761                           37.907                           14.860
    3.820             24.768                           37.917                           14.864
    3.830             24.775                           37.928                           14.868
    3.840             24.782                           37.938                           14.872
    3.850             24.788                           37.949                           14.876
    3.860             24.795                           37.959                           14.880
    3.870             24.802                           37.970                           14.884
    3.880             24.809                           37.980                           14.888
    3.890             24.815                           37.990                           14.892
    3.900             24.822                           38.001                           14.896
    3.910             24.829                           38.011                           14.900
    3.920             24.836                           38.021                           14.904
    3.930             24.842                           38.032                           14.908
    3.940             24.849                           38.042                           14.912
    3.950             24.856                           38.052                           14.916
    3.960             24.862                           38.062                           14.920
